onset	duration	trial_type	accuracy	button	response_time	trial_type_less_granular	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.451	0.017	recently_learned_faces_baseline	0	NA	NA	recently_learned_faces_baseline	10.452	NA
11.337	2.525	recently_learned_faces_baseline	1	right	1.991	recently_learned_faces_baseline	13.828	13.328
14.932	2.507	famous_faces_baseline	1	left	1.082	famous_faces_baseline	17.417	16.014
18.225	2.507	famous_faces_baseline	1	right	0.879	famous_faces_baseline	20.704	19.104
21.852	2.508	famous_faces_false_combination	1	right	1.318	famous_faces	24.343	23.17
25.246	2.507	famous_faces_correct_combination	1	left	0.872	famous_faces	27.73	26.118
28.689	2.508	recently_learned_faces_false_combination	1	right	1.147	recently_learned_faces	31.168	29.836
32.317	2.507	recently_learned_faces_false_combination	1	right	1.223	recently_learned_faces	34.807	33.54
35.861	2.507	famous_faces_false_combination	1	right	0.976	famous_faces	38.345	36.837
39.254	2.508	famous_faces_baseline	1	left	1.204	famous_faces_baseline	41.733	40.458
42.831	2.508	recently_learned_faces_baseline	1	left	0.666	recently_learned_faces_baseline	45.322	43.497
46.175	2.507	famous_faces_false_combination	1	right	0.851	famous_faces	48.659	47.026
49.719	2.507	famous_faces_baseline	1	right	0.88	famous_faces_baseline	52.198	50.599
55.352	2.507	famous_faces_baseline	1	right	1.057	famous_faces_baseline	57.838	56.409
58.946	2.508	recently_learned_faces_correct_combination	1	left	1.258	recently_learned_faces	61.427	60.204
62.373	2.524	recently_learned_faces_false_combination	1	right	0.872	recently_learned_faces	64.865	63.245
65.766	2.508	famous_faces_correct_combination	1	left	0.932	famous_faces	68.252	66.698
69.21	2.507	famous_faces_false_combination	1	right	0.816	famous_faces	71.69	70.026
72.737	2.508	recently_learned_faces_false_combination	1	right	1.225	recently_learned_faces	75.228	73.962
76.181	2.507	famous_faces_false_combination	1	right	1.108	famous_faces	78.666	77.289
79.825	2.507	recently_learned_faces_false_combination	1	right	1.182	recently_learned_faces	82.305	81.007
83.252	2.507	recently_learned_faces_false_combination	1	right	0.853	recently_learned_faces	85.743	84.105
86.846	2.507	famous_faces_baseline	1	right	1.131	famous_faces_baseline	89.332	87.977
90.139	2.508	famous_faces_baseline	1	right	0.786	famous_faces_baseline	92.619	90.925
93.716	2.508	famous_faces_false_combination	1	right	0.856	famous_faces	96.208	94.572
97.16	2.507	recently_learned_faces_false_combination	0	left	1.22	recently_learned_faces	99.646	98.38
102.944	2.507	recently_learned_faces_correct_combination	0	right	1.191	recently_learned_faces	105.437	104.135
106.287	2.508	famous_faces_correct_combination	1	left	0.979	famous_faces	108.774	107.266
109.881	2.508	recently_learned_faces_correct_combination	1	left	0.914	recently_learned_faces	112.363	110.795
113.208	2.507	recently_learned_faces_false_combination	1	right	1.007	recently_learned_faces	115.7	114.215
116.802	2.507	recently_learned_faces_correct_combination	1	left	1.801	recently_learned_faces	119.289	118.603
120.346	2.507	famous_faces_correct_combination	1	left	0.884	famous_faces	122.828	121.23
123.773	2.524	famous_faces_correct_combination	1	left	0.843	famous_faces	126.266	124.616
127.216	2.508	recently_learned_faces_correct_combination	1	left	0.882	recently_learned_faces	129.704	128.098
130.86	2.508	famous_faces_baseline	1	left	0.862	famous_faces_baseline	133.343	131.722
134.137	2.507	recently_learned_faces_baseline	1	right	0.917	recently_learned_faces_baseline	136.63	135.054
137.731	2.507	famous_faces_baseline	1	left	1.137	famous_faces_baseline	140.219	138.868
141.325	2.507	famous_faces_correct_combination	1	left	0.823	famous_faces	143.808	142.148
144.601	2.525	recently_learned_faces_correct_combination	1	left	0.878	recently_learned_faces	147.095	145.479
150.252	2.507	famous_faces_baseline	1	right	0.924	famous_faces_baseline	152.735	151.176
153.779	2.524	famous_faces_correct_combination	1	left	0.922	famous_faces	156.273	154.701
157.423	2.507	famous_faces_baseline	1	right	0.777	famous_faces_baseline	159.912	158.2
160.867	2.507	recently_learned_faces_correct_combination	1	left	0.879	recently_learned_faces	163.35	161.746
164.293	2.525	recently_learned_faces_baseline	1	left	1.175	recently_learned_faces_baseline	166.788	165.468
167.837	2.508	recently_learned_faces_correct_combination	1	left	0.821	recently_learned_faces	170.327	168.658
171.381	2.508	recently_learned_faces_correct_combination	1	left	1.078	recently_learned_faces	173.865	172.459
174.658	2.524	recently_learned_faces_correct_combination	1	left	0.915	recently_learned_faces	177.152	175.573
178.202	2.507	famous_faces_false_combination	1	right	0.956	famous_faces	180.69	179.158
181.745	2.508	recently_learned_faces_baseline	1	left	0.936	recently_learned_faces_baseline	184.229	182.681
185.172	2.525	famous_faces_false_combination	1	right	0.8	famous_faces	187.667	185.972
188.716	2.508	famous_faces_false_combination	1	right	0.851	famous_faces	191.206	189.567
192.31	2.508	famous_faces_baseline	0	left	0.955	famous_faces_baseline	194.795	193.265
197.843	2.508	recently_learned_faces_false_combination	1	right	1.285	recently_learned_faces	200.335	199.128
201.287	2.508	famous_faces_false_combination	1	right	1.117	famous_faces	203.773	202.404
204.881	2.508	recently_learned_faces_correct_combination	1	left	0.874	recently_learned_faces	207.362	205.755
208.208	2.507	famous_faces_false_combination	1	right	0.934	famous_faces	210.699	209.142
211.902	2.508	famous_faces_baseline	1	left	0.861	famous_faces_baseline	214.388	212.763
215.346	2.507	recently_learned_faces_false_combination	0	left	1.405	recently_learned_faces	217.826	216.751
218.773	2.507	recently_learned_faces_false_combination	1	right	1.48	recently_learned_faces	221.264	220.253
222.367	2.507	famous_faces_correct_combination	1	left	1.054	famous_faces	224.853	223.421
225.66	2.507	recently_learned_faces_baseline	1	right	1.043	recently_learned_faces_baseline	228.14	226.703
229.187	2.507	famous_faces_baseline	1	right	0.998	famous_faces_baseline	231.678	230.185
232.831	2.508	recently_learned_faces_baseline	1	left	1.01	recently_learned_faces_baseline	235.317	233.841
236.275	2.507	recently_learned_faces_baseline	1	right	0.79	recently_learned_faces_baseline	238.755	237.065
239.601	2.508	recently_learned_faces_false_combination	1	right	1.737	recently_learned_faces	242.092	241.338
245.352	2.507	recently_learned_faces_baseline	1	right	0.955	recently_learned_faces_baseline	247.833	246.307
248.879	2.507	famous_faces_correct_combination	1	left	0.874	famous_faces	251.372	249.753
252.423	2.507	famous_faces_correct_combination	1	left	1	famous_faces	254.91	253.423
255.766	2.508	famous_faces_baseline	1	right	0.745	famous_faces_baseline	258.247	256.511
259.193	2.507	recently_learned_faces_correct_combination	1	left	1.142	recently_learned_faces	261.685	260.335
262.787	2.508	recently_learned_faces_correct_combination	1	left	1.169	recently_learned_faces	265.274	263.956
266.18	2.508	famous_faces_correct_combination	1	left	0.892	famous_faces	268.662	267.072
269.808	2.507	famous_faces_false_combination	1	right	0.999	famous_faces	272.301	270.807
273.352	2.507	famous_faces_correct_combination	1	left	0.788	famous_faces	275.839	274.14
276.695	2.508	famous_faces_baseline	1	left	1.125	famous_faces_baseline	279.176	277.82
280.222	2.508	recently_learned_faces_correct_combination	1	left	1.762	recently_learned_faces	282.715	281.984
283.616	2.507	famous_faces_false_combination	1	right	0.807	famous_faces	286.103	284.423
287.16	2.507	recently_learned_faces_correct_combination	0	right	1.311	recently_learned_faces	289.641	288.471
292.893	2.508	recently_learned_faces_correct_combination	1	left	1.299	recently_learned_faces	295.382	294.192
296.287	2.507	famous_faces_false_combination	1	right	1.145	famous_faces	298.769	297.432
299.714	2.507	famous_faces_false_combination	1	right	0.873	famous_faces	302.207	300.587
303.408	2.508	recently_learned_faces_baseline	1	right	0.852	recently_learned_faces_baseline	305.896	304.26
306.802	2.507	famous_faces_correct_combination	1	left	0.815	famous_faces	309.284	307.617
310.329	2.507	recently_learned_faces_baseline	1	left	0.945	recently_learned_faces_baseline	312.823	311.274
313.722	2.508	famous_faces_correct_combination	1	left	0.687	famous_faces	316.21	314.409
317.266	2.508	recently_learned_faces_correct_combination	1	left	1.846	recently_learned_faces	319.749	319.112
320.843	2.508	recently_learned_faces_false_combination	1	right	0.929	recently_learned_faces	323.338	321.772
324.137	2.507	recently_learned_faces_false_combination	1	right	1.934	recently_learned_faces	326.625	326.071
327.731	2.507	recently_learned_faces_correct_combination	1	left	1.004	recently_learned_faces	330.214	328.735
331.325	2.507	recently_learned_faces_baseline	1	right	0.92	recently_learned_faces_baseline	333.803	332.245
334.651	2.508	famous_faces_correct_combination	1	left	1.486	famous_faces	337.14	336.137
340.251	2.508	recently_learned_faces_baseline	1	left	0.818	recently_learned_faces_baseline	342.73	341.069
343.929	2.507	recently_learned_faces_baseline	1	right	0.754	recently_learned_faces_baseline	346.419	344.683
347.372	2.508	famous_faces_false_combination	1	right	0.936	famous_faces	349.857	348.308
350.816	2.508	recently_learned_faces_correct_combination	1	left	1.161	recently_learned_faces	353.295	351.977
354.243	2.507	famous_faces_false_combination	1	right	1.445	famous_faces	356.733	355.688
357.887	2.508	recently_learned_faces_baseline	1	right	0.924	recently_learned_faces_baseline	360.372	358.811
361.18	2.508	recently_learned_faces_baseline	1	left	1.004	recently_learned_faces_baseline	363.659	362.184
364.758	2.507	recently_learned_faces_false_combination	1	right	0.908	recently_learned_faces	367.248	365.666
368.201	2.508	famous_faces_false_combination	1	right	0.916	famous_faces	370.686	369.117
371.795	2.508	famous_faces_correct_combination	0	right	0.963	famous_faces	374.275	372.758
375.122	2.507	famous_faces_false_combination	1	right	2.077	famous_faces	377.612	377.199
378.816	2.508	recently_learned_faces_baseline	1	right	1.637	recently_learned_faces_baseline	381.301	380.453
382.26	2.507	recently_learned_faces_false_combination	0	left	1.673	recently_learned_faces	384.739	383.933
387.793	2.507	recently_learned_faces_baseline	1	left	0.75	recently_learned_faces_baseline	390.279	388.543
391.237	2.507	famous_faces_false_combination	1	right	1.135	famous_faces	393.717	392.372
394.864	2.508	famous_faces_correct_combination	1	left	0.772	famous_faces	397.356	395.636
398.308	2.507	recently_learned_faces_baseline	1	right	0.842	recently_learned_faces_baseline	400.794	399.15
401.902	2.507	recently_learned_faces_correct_combination	0	right	1.051	recently_learned_faces	404.383	402.953
405.178	2.508	famous_faces_correct_combination	0	NA	NA	famous_faces	407.67	NA
408.822	2.508	recently_learned_faces_false_combination	1	right	2.036	recently_learned_faces	411.309	410.858
412.366	2.508	famous_faces_correct_combination	1	left	1.068	famous_faces	414.847	413.434
415.693	2.507	famous_faces_false_combination	1	right	0.802	famous_faces	418.184	416.495
419.237	2.507	famous_faces_baseline	1	right	1.193	famous_faces_baseline	421.723	420.43
422.68	2.508	famous_faces_correct_combination	1	left	1.212	famous_faces	425.161	423.892
426.207	2.508	famous_faces_baseline	1	right	1.882	famous_faces_baseline	428.7	428.089
429.751	2.508	famous_faces_baseline	1	left	1.774	famous_faces_baseline	432.239	431.525
435.285	2.507	recently_learned_faces_baseline	1	left	0.886	recently_learned_faces_baseline	437.778	436.171
438.728	2.508	recently_learned_faces_false_combination	0	left	1.259	recently_learned_faces	441.216	439.987
442.372	2.508	recently_learned_faces_correct_combination	1	left	1.211	recently_learned_faces	444.855	443.583
445.9	2.507	recently_learned_faces_baseline	1	left	0.672	recently_learned_faces_baseline	448.393	446.572
449.293	2.507	recently_learned_faces_false_combination	1	right	1.456	recently_learned_faces	451.781	450.749
452.887	2.508	recently_learned_faces_baseline	1	left	0.71	recently_learned_faces_baseline	455.37	453.597
456.214	2.507	recently_learned_faces_baseline	0	right	1.142	recently_learned_faces_baseline	458.707	457.356
459.657	2.508	famous_faces_baseline	1	left	0.952	famous_faces_baseline	462.145	460.609
463.251	2.508	famous_faces_correct_combination	1	left	0.887	famous_faces	465.734	464.138
466.778	2.525	famous_faces_baseline	1	right	0.789	famous_faces_baseline	469.273	467.567
470.172	2.507	famous_faces_false_combination	1	right	0.959	famous_faces	472.66	471.131
473.816	2.508	famous_faces_false_combination	1	right	0.871	famous_faces	476.299	474.687
477.243	2.507	recently_learned_faces_baseline	1	left	0.865	recently_learned_faces_baseline	479.737	478.108
482.743	2.507	famous_faces_baseline	1	right	0.855	famous_faces_baseline	485.226	483.598
486.337	2.507	recently_learned_faces_correct_combination	1	left	1.423	recently_learned_faces	488.815	487.76
489.914	2.508	recently_learned_faces_baseline	1	left	0.939	recently_learned_faces_baseline	492.404	490.853
493.257	2.508	recently_learned_faces_correct_combination	1	left	1.154	recently_learned_faces	495.741	494.411
496.851	2.508	famous_faces_baseline	1	left	0.958	famous_faces_baseline	499.33	497.809
500.379	2.507	recently_learned_faces_false_combination	1	right	1.006	recently_learned_faces	502.868	501.385
503.722	2.507	famous_faces_false_combination	1	right	1.381	famous_faces	506.205	505.103
507.266	2.507	recently_learned_faces_baseline	1	left	0.818	recently_learned_faces_baseline	509.744	508.084
510.793	2.507	famous_faces_baseline	1	right	0.82	famous_faces_baseline	513.283	511.613
514.136	2.508	recently_learned_faces_false_combination	1	right	1.036	recently_learned_faces	516.62	515.172
517.78	2.508	famous_faces_baseline	1	left	0.769	famous_faces_baseline	520.259	518.549
521.107	2.508	famous_faces_false_combination	1	right	1.19	famous_faces	523.596	522.297
524.701	2.508	recently_learned_faces_false_combination	1	right	1.527	recently_learned_faces	527.185	526.228
530.284	2.508	famous_faces_correct_combination	1	left	0.766	famous_faces	532.775	531.05
533.828	2.508	recently_learned_faces_false_combination	1	right	1.087	recently_learned_faces	536.314	534.915
537.422	2.508	recently_learned_faces_baseline	1	right	1.101	recently_learned_faces_baseline	539.903	538.523
540.849	2.508	recently_learned_faces_correct_combination	1	left	1.066	recently_learned_faces	543.341	541.915
544.193	2.507	famous_faces_correct_combination	1	left	0.854	famous_faces	546.678	545.047
547.736	2.508	famous_faces_correct_combination	1	left	0.78	famous_faces	550.216	548.516
551.364	2.507	recently_learned_faces_false_combination	1	right	0.888	recently_learned_faces	553.855	552.252
554.657	2.508	famous_faces_baseline	1	left	0.921	famous_faces_baseline	557.142	555.578
558.251	2.508	famous_faces_false_combination	1	right	0.863	famous_faces	560.731	559.114
561.778	2.508	famous_faces_false_combination	1	right	0.896	famous_faces	564.27	562.674
565.122	2.507	famous_faces_false_combination	1	right	0.901	famous_faces	567.607	566.023
568.716	2.507	recently_learned_faces_false_combination	0	left	1.207	recently_learned_faces	571.196	569.923
