"onset"	"trial_type"
14.936	"famous_faces_baseline"
18.363	"famous_faces_baseline"
49.607	"famous_faces_baseline"
55.307	"famous_faces_baseline"
86.651	"famous_faces_baseline"
90.278	"famous_faces_baseline"
130.699	"famous_faces_baseline"
137.636	"famous_faces_baseline"
150.257	"famous_faces_baseline"
157.278	"famous_faces_baseline"
192.166	"famous_faces_baseline"
211.808	"famous_faces_baseline"
229.243	"famous_faces_baseline"
255.856	"famous_faces_baseline"
276.785	"famous_faces_baseline"
419.294	"famous_faces_baseline"
426.214	"famous_faces_baseline"
429.808	"famous_faces_baseline"
459.865	"famous_faces_baseline"
466.685	"famous_faces_baseline"
482.8	"famous_faces_baseline"
496.842	"famous_faces_baseline"
510.65	"famous_faces_baseline"
517.62	"famous_faces_baseline"
554.865	"famous_faces_baseline"
598.662	"famous_faces_baseline"
609.328	"famous_faces_baseline"
612.621	"famous_faces_baseline"
653.342	"famous_faces_baseline"
663.707	"famous_faces_baseline"
690.236	"famous_faces_baseline"
693.763	"famous_faces_baseline"
711.265	"famous_faces_baseline"
723.92	"famous_faces_baseline"
781.893	"famous_faces_baseline"
25.2	"famous_faces_correct_combination"
65.721	"famous_faces_correct_combination"
106.242	"famous_faces_correct_combination"
120.184	"famous_faces_correct_combination"
123.828	"famous_faces_correct_combination"
141.163	"famous_faces_correct_combination"
153.885	"famous_faces_correct_combination"
222.372	"famous_faces_correct_combination"
248.734	"famous_faces_correct_combination"
252.278	"famous_faces_correct_combination"
266.17	"famous_faces_correct_combination"
273.258	"famous_faces_correct_combination"
306.908	"famous_faces_correct_combination"
313.678	"famous_faces_correct_combination"
334.808	"famous_faces_correct_combination"
371.835	"famous_faces_correct_combination"
394.77	"famous_faces_correct_combination"
405.235	"famous_faces_correct_combination"
412.356	"famous_faces_correct_combination"
422.62	"famous_faces_correct_combination"
463.308	"famous_faces_correct_combination"
530.392	"famous_faces_correct_combination"
544.4	"famous_faces_correct_combination"
547.677	"famous_faces_correct_combination"
588.398	"famous_faces_correct_combination"
595.286	"famous_faces_correct_combination"
619.792	"famous_faces_correct_combination"
625.342	"famous_faces_correct_combination"
632.363	"famous_faces_correct_combination"
697.357	"famous_faces_correct_combination"
730.707	"famous_faces_correct_combination"
741.372	"famous_faces_correct_combination"
774.705	"famous_faces_correct_combination"
785.336	"famous_faces_correct_combination"
788.713	"famous_faces_correct_combination"
792.157	"famous_faces_correct_combination"
21.807	"famous_faces_false_combination"
35.765	"famous_faces_false_combination"
46.28	"famous_faces_false_combination"
69.399	"famous_faces_false_combination"
76.336	"famous_faces_false_combination"
93.722	"famous_faces_false_combination"
178.157	"famous_faces_false_combination"
185.278	"famous_faces_false_combination"
188.822	"famous_faces_false_combination"
201.243	"famous_faces_false_combination"
208.264	"famous_faces_false_combination"
269.864	"famous_faces_false_combination"
283.772	"famous_faces_false_combination"
296.243	"famous_faces_false_combination"
299.87	"famous_faces_false_combination"
354.35	"famous_faces_false_combination"
368.308	"famous_faces_false_combination"
