onset	duration	trial_type	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
7.851	2.808	Contingent	right	1.935	10.641	9.786
11.294	2.809	Contingent	right	2.31	14.081	13.604
14.888	2.809	Contingent	right	2.568	17.672	17.456
18.232	2.791	Contingent	left	1.235	21.011	19.467
21.909	2.809	Contingent	left	2.692	24.702	24.601
25.203	2.808	NonContingent	left	1.563	27.991	26.766
28.847	2.808	Contingent	left	1.056	31.632	29.903
32.391	2.808	Contingent	NA	NA	35.172	NA
35.768	2.808	Contingent	left	0.887	38.562	36.655
39.211	2.809	NonContingent	right	1.575	42.002	40.786
42.755	2.809	Contingent	left	1.213	45.543	43.968
46.349	2.809	NonContingent	left	2.273	49.134	48.622
49.793	2.792	NonContingent	left	0.977	52.574	50.77
55.259	2.792	NonContingent	right	1.519	58.039	56.778
58.786	2.809	Contingent	left	1.323	61.579	60.109
62.431	2.808	NonContingent	right	1.879	65.22	64.31
65.824	2.808	NonContingent	right	1.074	68.61	66.898
69.368	2.808	Contingent	right	1.26	72.151	70.628
72.912	2.792	Contingent	left	0.886	75.691	73.798
76.239	2.808	Contingent	left	0.905	79.03	77.144
79.783	2.808	NonContingent	right	1.872	82.571	81.655
83.176	2.808	Contingent	left	1.274	85.961	84.45
86.82	2.809	NonContingent	right	1.499	89.602	88.319
90.197	2.808	Contingent	left	0.908	92.991	91.105
93.741	2.808	Contingent	right	1.335	96.532	95.076
97.134	2.809	Contingent	right	1.636	99.922	98.77
102.801	2.809	Contingent	left	1.9	105.588	104.701
106.446	2.808	Contingent	left	0.929	109.229	107.375
109.739	2.791	NonContingent	left	1.442	112.518	111.181
113.366	2.809	NonContingent	right	0.923	116.159	114.289
116.81	2.808	NonContingent	right	1.056	119.599	117.866
120.404	2.808	NonContingent	right	1.536	123.19	121.94
123.798	2.808	Contingent	left	1.1	126.58	124.898
127.191	2.792	Contingent	right	1.563	129.97	128.754
130.718	2.809	Contingent	left	0.667	133.51	131.385
134.312	2.809	NonContingent	right	1.207	137.101	135.519
137.706	2.808	Contingent	left	1.536	140.49	139.242
141.25	2.808	Contingent	left	0.932	144.031	142.182
144.777	2.808	NonContingent	right	1.463	147.572	146.24
150.344	2.808	Contingent	left	1.127	153.138	151.471
153.938	2.808	NonContingent	right	0.924	156.729	154.862
157.381	2.809	Contingent	left	0.808	160.169	158.189
160.775	2.808	NonContingent	right	1.309	163.558	162.084
164.218	2.809	NonContingent	right	1.271	166.998	165.489
167.746	2.808	NonContingent	right	1.597	170.538	169.343
171.39	2.808	NonContingent	right	0.957	174.179	172.347
174.783	2.809	NonContingent	left	1.455	177.569	176.238
178.327	2.809	Contingent	left	0.809	181.11	179.136
181.654	2.808	NonContingent	left	0.962	184.449	182.616
185.348	2.809	Contingent	left	0.75	188.14	186.098
188.641	2.809	Contingent	left	1.078	191.429	189.719
192.286	2.808	NonContingent	left	1.298	195.07	193.584
197.902	2.809	Contingent	right	1.422	200.687	199.324
201.296	2.792	NonContingent	right	0.997	204.076	202.293
204.823	2.809	NonContingent	right	1.207	207.617	206.03
208.217	2.808	NonContingent	right	1.122	211.007	209.339
