"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.786	"Visual_Same"	1	"right"	1.215	1.789	12.575	12.001
13.227	"Visual_Same"	1	"right"	1.035	1.788	15.015	14.262
15.868	"Visual_Lure"	1	"left"	1.077	1.789	17.657	16.945
18.409	"Visual_Different"	1	"left"	1.21	1.789	20.198	19.619
20.799	"Visual_Same"	1	"right"	1.151	1.789	22.588	21.95
28.238	"Auditory_Same"	1	"right"	1.103	1.789	30.027	29.341
30.879	"Auditory_Lure"	1	"left"	1.254	1.789	32.668	32.133
33.32	"Auditory_Different"	1	"left"	0.933	1.789	35.109	34.253
35.761	"Auditory_Lure"	1	"left"	1.337	1.788	37.549	37.098
38.402	"Auditory_Lure"	1	"left"	1.416	1.789	40.191	39.818
40.726	"Auditory_Different"	1	"left"	1.233	1.788	42.514	41.959
43.317	"Auditory_Different"	1	"left"	0.995	1.788	45.105	44.312
50.739	"Visual_Same"	1	"right"	0.996	1.788	52.527	51.735
53.28	"Visual_Lure"	1	"left"	0.799	1.788	55.068	54.079
55.921	"Visual_Same"	1	"right"	1.682	1.789	57.71	57.603
58.361	"Visual_Different"	1	"left"	0.861	1.789	60.15	59.222
60.785	"Visual_Different"	1	"left"	0.88	1.789	62.574	61.665
63.226	"Visual_Lure"	1	"left"	1.069	1.789	65.015	64.295
70.849	"Auditory_Different"	1	"left"	0.794	1.788	72.637	71.643
73.44	"Auditory_Different"	1	"left"	0.862	1.772	75.212	74.302
75.713	"Auditory_Lure"	1	"left"	1.11	1.789	77.502	76.823
78.254	"Auditory_Same"	1	"right"	0.934	1.789	80.043	79.188
80.695	"Auditory_Same"	1	"right"	0.833	1.788	82.483	81.528
83.336	"Auditory_Different"	1	"left"	0.941	1.789	85.125	84.277
90.741	"Visual_Lure"	1	"left"	0.971	1.789	92.53	91.712
93.383	"Visual_Lure"	1	"left"	0.798	1.788	95.171	94.181
95.923	"Visual_Same"	1	"right"	0.797	1.789	97.712	96.72
98.297	"Visual_Different"	1	"left"	0.841	1.789	100.086	99.138
100.738	"Visual_Different"	1	"left"	0.761	1.789	102.527	101.499
103.329	"Visual_Lure"	1	"left"	1.137	1.789	105.118	104.466
110.835	"Auditory_Different"	1	"left"	0.986	1.788	112.623	111.821
113.426	"Auditory_Different"	1	"left"	0.994	1.788	115.214	114.42
115.816	"Auditory_Same"	0	NA	NA	1.789	117.605	NA
118.407	"Auditory_Lure"	1	"left"	1.104	1.789	120.196	119.511
120.697	"Auditory_Different"	1	"left"	0.925	1.789	122.486	121.622
128.237	"Visual_Same"	1	"right"	0.73	1.788	130.025	128.967
130.928	"Visual_Different"	1	"left"	0.594	1.789	132.717	131.522
133.318	"Visual_Same"	1	"right"	0.888	1.789	135.107	134.206
135.709	"Visual_Lure"	1	"left"	0.742	1.788	137.497	136.451
138.233	"Visual_Lure"	1	"left"	0.709	1.789	140.022	138.942
140.824	"Visual_Different"	1	"left"	0.73	1.789	142.613	141.554
143.265	"Visual_Different"	1	"left"	0.782	1.788	145.053	144.047
150.787	"Auditory_Lure"	1	"left"	0.759	1.789	152.576	151.546
153.378	"Auditory_Different"	1	"left"	1.223	1.789	155.167	154.601
155.718	"Auditory_Lure"	1	"left"	0.843	1.789	157.507	156.561
158.243	"Auditory_Same"	1	"right"	0.927	1.788	160.031	159.17
160.784	"Auditory_Same"	1	"right"	1.055	1.788	162.572	161.839
163.324	"Auditory_Different"	1	"left"	1.029	1.789	165.113	164.353
170.947	"Visual_Same"	1	"right"	0.785	1.789	172.736	171.732
173.321	"Visual_Lure"	1	"left"	0.689	1.789	175.11	174.01
175.711	"Visual_Different"	1	"left"	0.84	1.789	177.5	176.551
178.252	"Visual_Lure"	1	"left"	0.857	1.789	180.041	179.109
180.843	"Visual_Lure"	1	"left"	0.914	1.789	182.632	181.757
183.384	"Visual_Different"	1	"left"	0.866	1.772	185.156	184.25
185.758	"Visual_Different"	1	"left"	0.92	1.789	187.547	186.678
193.448	"Auditory_Lure"	1	"left"	1.085	1.772	195.22	194.533
195.721	"Auditory_Lure"	1	"left"	0.763	1.789	197.51	196.484
198.412	"Auditory_Same"	1	"right"	0.923	1.789	200.201	199.335
200.753	"Auditory_Different"	1	"left"	0.773	1.788	202.541	201.526
203.294	"Auditory_Different"	1	"left"	0.814	1.788	205.082	204.108
205.818	"Auditory_Lure"	1	"left"	1.115	1.789	207.607	206.933
213.24	"Visual_Same"	1	"right"	0.714	1.789	215.029	213.954
215.781	"Visual_Same"	1	"right"	0.732	1.789	217.57	216.513
218.405	"Visual_Different"	1	"left"	0.657	1.789	220.194	219.062
220.846	"Visual_Lure"	1	"left"	0.728	1.789	222.635	221.574
223.287	"Visual_Lure"	1	"left"	0.833	1.788	225.075	224.12
225.727	"Visual_Same"	1	"right"	0.703	1.789	227.516	226.43
233.283	"Auditory_Different"	1	"left"	0.909	1.789	235.072	234.192
235.724	"Auditory_Same"	1	"right"	1.215	1.788	237.512	236.939
238.415	"Auditory_Lure"	1	"left"	0.975	1.789	240.204	239.39
240.856	"Auditory_Same"	1	"right"	1.009	1.788	242.644	241.865
243.28	"Auditory_Same"	1	"right"	0.903	1.788	245.068	244.183
245.67	"Auditory_Lure"	1	"left"	0.889	1.789	247.459	246.559
248.211	"Auditory_Lure"	1	"left"	0.867	1.789	250	249.078
255.733	"Visual_Lure"	1	"left"	0.669	1.789	257.522	256.402
258.375	"Visual_Different"	1	"left"	0.687	1.788	260.163	259.062
260.916	"Visual_Lure"	1	"left"	0.877	1.788	262.704	261.793
263.356	"Visual_Same"	1	"right"	0.83	1.789	265.145	264.186
265.73	"Visual_Same"	1	"right"	0.635	1.789	267.519	266.365
268.17	"Visual_Different"	1	"left"	0.702	1.789	269.959	268.872
275.893	"Auditory_Same"	1	"right"	1.141	1.789	277.682	277.034
278.317	"Auditory_Same"	1	"right"	1.036	1.789	280.106	279.353
280.908	"Auditory_Different"	1	"left"	1.016	1.789	282.697	281.924
283.299	"Auditory_Lure"	0	"right"	1.673	1.789	285.088	284.972
285.689	"Auditory_Lure"	1	"left"	0.874	1.789	287.478	286.563
288.381	"Auditory_Same"	1	"right"	0.958	1.788	290.169	289.339
295.836	"Visual_Lure"	1	"left"	0.77	1.789	297.625	296.606
298.427	"Visual_Different"	1	"left"	0.886	1.789	300.216	299.313
300.718	"Visual_Same"	1	"right"	0.736	1.788	302.506	301.454
303.392	"Visual_Different"	1	"left"	0.626	1.789	305.181	304.018
305.732	"Visual_Different"	1	"left"	0.653	1.789	307.521	306.385
308.324	"Visual_Same"	1	"right"	0.772	1.788	310.112	309.096
310.764	"Visual_Same"	1	"right"	0.691	1.789	312.553	311.455
318.387	"Auditory_Lure"	1	"left"	0.986	1.789	320.176	319.373
320.777	"Auditory_Different"	1	"left"	0.941	1.789	322.566	321.718
323.419	"Auditory_Same"	1	"right"	0.903	1.771	325.19	324.322
325.742	"Auditory_Different"	1	"left"	0.942	1.789	327.531	326.684
328.183	"Auditory_Different"	1	"left"	1.067	1.788	329.971	329.25
330.824	"Auditory_Same"	1	"right"	0.902	1.789	332.613	331.726
333.265	"Auditory_Same"	1	"right"	1.003	1.788	335.053	334.268
340.937	"Visual_Lure"	1	"left"	0.587	1.789	342.726	341.524
343.328	"Visual_Same"	1	"right"	0.771	1.789	345.117	344.099
345.769	"Visual_Lure"	1	"left"	0.746	1.771	347.54	346.515
348.192	"Visual_Different"	1	"left"	0.74	1.789	349.981	348.932
350.834	"Visual_Different"	1	"left"	0.743	1.788	352.622	351.577
353.174	"Visual_Same"	1	"right"	0.91	1.789	354.963	354.084
