"onset"	"trial_type"
35.934	"Auditory_Different"
45.68	"Auditory_Different"
80.784	"Auditory_Different"
118.213	"Auditory_Different"
148.386	"Auditory_Different"
155.808	"Auditory_Different"
188.439	"Auditory_Different"
235.863	"Auditory_Different"
278.373	"Auditory_Different"
283.305	"Auditory_Different"
285.829	"Auditory_Different"
318.292	"Auditory_Different"
320.816	"Auditory_Different"
328.239	"Auditory_Different"
360.903	"Auditory_Different"
363.327	"Auditory_Different"
398.348	"Auditory_Different"
400.889	"Auditory_Different"
430.828	"Auditory_Different"
440.724	"Auditory_Different"
475.845	"Auditory_Different"
510.699	"Auditory_Different"
548.462	"Auditory_Different"
558.308	"Auditory_Different"
560.748	"Auditory_Different"
600.784	"Auditory_Different"
633.298	"Auditory_Different"
640.82	"Auditory_Different"
643.194	"Auditory_Different"
668.219	"Auditory_Different"
673.401	"Auditory_Different"
715.694	"Auditory_Different"
38.374	"Auditory_Lure"
70.788	"Auditory_Lure"
75.92	"Auditory_Lure"
123.244	"Auditory_Lure"
153.267	"Auditory_Lure"
193.219	"Auditory_Lure"
200.775	"Auditory_Lure"
203.316	"Auditory_Lure"
233.423	"Auditory_Lure"
245.759	"Auditory_Lure"
275.782	"Auditory_Lure"
325.848	"Auditory_Lure"
355.721	"Auditory_Lure"
365.717	"Auditory_Lure"
390.742	"Auditory_Lure"
393.316	"Auditory_Lure"
403.162	"Auditory_Lure"
428.437	"Auditory_Lure"
433.352	"Auditory_Lure"
473.405	"Auditory_Lure"
505.935	"Auditory_Lure"
508.275	"Auditory_Lure"
515.781	"Auditory_Lure"
553.393	"Auditory_Lure"
555.733	"Auditory_Lure"
590.721	"Auditory_Lure"
593.362	"Auditory_Lure"
598.193	"Auditory_Lure"
630.707	"Auditory_Lure"
635.739	"Auditory_Lure"
638.38	"Auditory_Lure"
675.841	"Auditory_Lure"
678.282	"Auditory_Lure"
718.285	"Auditory_Lure"
720.675	"Auditory_Lure"
40.698	"Auditory_Same"
43.289	"Auditory_Same"
73.329	"Auditory_Same"
83.375	"Auditory_Same"
85.665	"Auditory_Same"
113.398	"Auditory_Same"
115.772	"Auditory_Same"
120.904	"Auditory_Same"
240.795	"Auditory_Same"
280.914	"Auditory_Same"
288.169	"Auditory_Same"
290.861	"Auditory_Same"
353.43	"Auditory_Same"
358.312	"Auditory_Same"
395.757	"Auditory_Same"
435.742	"Auditory_Same"
438.183	"Auditory_Same"
468.34	"Auditory_Same"
470.864	"Auditory_Same"
513.391	"Auditory_Same"
545.887	"Auditory_Same"
550.702	"Auditory_Same"
628.283	"Auditory_Same"
670.81	"Auditory_Same"
680.823	"Auditory_Same"
710.779	"Auditory_Same"
713.42	"Auditory_Same"
723.316	"Auditory_Same"
15.824	"Visual_Different"
58.217	"Visual_Different"
100.71	"Visual_Different"
130.934	"Visual_Different"
133.274	"Visual_Different"
138.306	"Visual_Different"
165.888	"Visual_Different"
218.394	"Visual_Different"
220.835	"Visual_Different"
255.773	"Visual_Different"
260.804	"Visual_Different"
298.283	"Visual_Different"
303.364	"Visual_Different"
335.828	"Visual_Different"
345.741	"Visual_Different"
378.204	"Visual_Different"
418.341	"Visual_Different"
453.311	"Visual_Different"
488.416	"Visual_Different"
498.212	"Visual_Different"
530.843	"Visual_Different"
533.383	"Visual_Different"
570.711	"Visual_Different"
580.858	"Visual_Different"
583.148	"Visual_Different"
608.273	"Visual_Different"
610.714	"Visual_Different"
620.66	"Visual_Different"
660.83	"Visual_Different"
693.243	"Visual_Different"
700.766	"Visual_Different"
703.156	"Visual_Different"
13.383	"Visual_Lure"
23.279	"Visual_Lure"
25.82	"Visual_Lure"
63.299	"Visual_Lure"
93.238	"Visual_Lure"
95.929	"Visual_Lure"
105.775	"Visual_Lure"
135.915	"Visual_Lure"
170.869	"Visual_Lure"
178.375	"Visual_Lure"
180.766	"Visual_Lure"
213.279	"Visual_Lure"
223.376	"Visual_Lure"
253.232	"Visual_Lure"
308.229	"Visual_Lure"
343.35	"Visual_Lure"
373.239	"Visual_Lure"
375.814	"Visual_Lure"
383.386	"Visual_Lure"
415.749	"Visual_Lure"
455.702	"Visual_Lure"
458.226	"Visual_Lure"
485.775	"Visual_Lure"
490.706	"Visual_Lure"
523.237	"Visual_Lure"
528.302	"Visual_Lure"
575.743	"Visual_Lure"
578.334	"Visual_Lure"
613.355	"Visual_Lure"
650.884	"Visual_Lure"
653.408	"Visual_Lure"
658.239	"Visual_Lure"
690.92	"Visual_Lure"
695.784	"Visual_Lure"
698.375	"Visual_Lure"
18.248	"Visual_Same"
20.688	"Visual_Same"
53.286	"Visual_Same"
55.927	"Visual_Same"
60.758	"Visual_Same"
98.37	"Visual_Same"
140.696	"Visual_Same"
168.278	"Visual_Same"
173.193	"Visual_Same"
175.734	"Visual_Same"
210.738	"Visual_Same"
215.82	"Visual_Same"
258.364	"Visual_Same"
265.669	"Visual_Same"
268.26	"Visual_Same"
300.924	"Visual_Same"
310.87	"Visual_Same"
340.809	"Visual_Same"
380.745	"Visual_Same"
410.885	"Visual_Same"
413.426	"Visual_Same"
420.681	"Visual_Same"
448.33	"Visual_Same"
450.921	"Visual_Same"
460.817	"Visual_Same"
493.297	"Visual_Same"
495.838	"Visual_Same"
525.911	"Visual_Same"
535.774	"Visual_Same"
538.198	"Visual_Same"
568.388	"Visual_Same"
573.302	"Visual_Same"
615.896	"Visual_Same"
618.27	"Visual_Same"
655.798	"Visual_Same"
688.228	"Visual_Same"
