onset	duration	trial_type	accuracy	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.747	1.789	Visual_Lure	1	left	1.348	12.536	12.095
13.389	1.788	Visual_Lure	0	NA	NA	15.177	NA
15.913	1.789	Visual_Same	0	NA	NA	17.702	NA
18.303	1.739	Visual_Different	0	right	1.414	20.042	19.717
20.794	1.789	Visual_Different	0	NA	NA	22.583	NA
23.385	1.789	Visual_Lure	0	NA	NA	25.174	NA
30.941	1.789	Auditory_Same	0	NA	NA	32.73	NA
33.231	1.789	Auditory_Lure	1	left	0.931	35.02	34.162
35.823	1.788	Auditory_Same	0	NA	NA	37.611	NA
38.363	1.789	Auditory_Different	0	NA	NA	40.152	NA
40.737	1.789	Auditory_Different	1	left	0.295	42.526	41.032
43.278	1.789	Auditory_Lure	0	right	1.604	45.067	44.882
50.851	1.788	Visual_Same	1	right	1.556	52.639	52.407
53.275	1.788	Visual_Lure	0	NA	NA	55.063	NA
55.866	1.788	Visual_Same	0	NA	NA	57.654	NA
58.206	1.789	Visual_Different	0	NA	NA	59.995	NA
60.747	1.789	Visual_Different	0	NA	NA	62.536	NA
63.321	1.789	Visual_Lure	1	left	1.45	65.11	64.771
70.944	1.789	Auditory_Lure	1	left	1.228	72.733	72.172
73.234	1.789	Auditory_Lure	1	left	1.291	75.023	74.525
75.876	1.772	Auditory_Same	0	NA	NA	77.648	NA
78.249	1.789	Auditory_Lure	0	NA	NA	80.038	NA
80.79	1.789	Auditory_Different	1	left	1.587	82.579	82.377
88.447	1.788	Visual_Different	0	NA	NA	90.235	NA
90.837	1.789	Visual_Different	1	left	1.488	92.626	92.325
93.211	1.788	Visual_Lure	0	right	1.097	94.999	94.308
95.802	1.789	Visual_Same	0	NA	NA	97.591	NA
98.343	1.789	Visual_Same	0	NA	NA	100.132	NA
100.733	1.789	Visual_Different	0	NA	NA	102.522	NA
108.239	1.789	Auditory_Lure	1	left	1.618	110.028	109.857
110.78	1.789	Auditory_Same	1	right	1.578	112.569	112.358
113.371	1.789	Auditory_Lure	1	left	1.154	115.16	114.525
115.895	1.789	Auditory_Different	0	right	1.699	117.684	117.594
118.186	1.788	Auditory_Different	0	NA	NA	119.974	NA
120.726	1.789	Auditory_Same	1	right	1.482	122.515	122.208
123.318	1.788	Auditory_Same	0	NA	NA	125.106	NA
130.74	1.788	Visual_Same	0	left	0.042	132.528	130.782
133.431	1.789	Visual_Same	0	NA	NA	135.22	NA
135.822	1.788	Visual_Lure	1	left	1.362	137.61	137.184
138.195	1.789	Visual_Different	0	NA	NA	139.984	NA
140.837	1.788	Visual_Same	0	left	1.368	142.625	142.205
148.443	1.788	Auditory_Same	0	NA	NA	150.231	NA
150.833	1.789	Auditory_Same	0	NA	NA	152.622	NA
153.224	1.788	Auditory_Lure	0	NA	NA	155.012	NA
155.798	1.789	Auditory_Different	1	left	1.578	157.587	157.376
158.389	1.789	Auditory_Same	0	NA	NA	160.178	NA
165.795	1.788	Visual_Different	1	left	1.242	167.583	167.037
168.436	1.789	Visual_Same	1	right	1.636	170.225	170.072
170.81	1.788	Visual_Different	0	NA	NA	172.598	NA
173.401	1.788	Visual_Lure	1	left	1.404	175.189	174.805
175.741	1.789	Visual_Lure	0	NA	NA	177.53	NA
178.332	1.789	Visual_Same	1	right	1.196	180.121	179.528
185.888	1.789	Auditory_Different	1	left	1.305	187.677	187.193
188.278	1.789	Auditory_Same	1	right	1.319	190.067	189.597
190.87	1.788	Auditory_Lure	1	left	1.286	192.658	192.156
193.31	1.789	Auditory_Same	0	NA	NA	195.099	NA
195.885	1.788	Auditory_Same	0	NA	NA	197.673	NA
198.225	1.789	Auditory_Lure	1	left	0.108	200.014	198.333
200.666	1.788	Auditory_Lure	0	NA	NA	202.454	NA
208.238	1.789	Visual_Lure	1	left	1.051	210.027	209.289
210.829	1.789	Visual_Same	1	right	1.097	212.618	211.926
213.22	1.788	Visual_Lure	1	left	0.973	215.008	214.193
215.861	1.772	Visual_Different	1	left	1.029	217.633	216.89
218.385	1.789	Visual_Different	1	left	0.925	220.174	219.31
220.726	1.788	Visual_Same	1	right	1.507	222.514	222.233
223.317	1.788	Visual_Same	1	right	1.655	225.105	224.972
230.889	1.789	Auditory_Different	1	left	1.273	232.678	232.162
233.33	1.789	Auditory_Different	1	left	1.047	235.119	234.377
235.921	1.789	Auditory_Same	0	NA	NA	237.71	NA
238.194	1.789	Auditory_Lure	0	NA	NA	239.983	NA
240.735	1.789	Auditory_Different	1	left	1.44	242.524	242.175
248.241	1.789	Visual_Different	1	left	1.261	250.03	249.502
250.933	1.788	Visual_Different	1	left	1.092	252.721	252.025
253.323	1.772	Visual_Lure	0	right	1.426	255.095	254.749
255.747	1.789	Visual_Different	1	left	1.111	257.536	256.858
258.388	1.789	Visual_Same	0	NA	NA	260.177	NA
265.744	1.788	Auditory_Different	1	left	0.917	267.532	266.661
268.335	1.772	Auditory_Same	1	right	1.078	270.107	269.413
270.859	1.788	Auditory_Different	1	left	0.952	272.647	271.811
273.4	1.788	Auditory_Lure	0	NA	NA	275.188	NA
275.74	1.789	Auditory_Lure	1	left	1.209	277.529	276.949
278.331	1.789	Auditory_Same	1	right	1.297	280.12	279.628
285.887	1.789	Visual_Lure	1	left	0.696	287.676	286.583
288.278	1.788	Visual_Lure	1	left	0.889	290.066	289.167
290.818	1.789	Visual_Same	1	right	1.042	292.607	291.86
293.209	1.772	Visual_Lure	1	left	0.84	294.981	294.049
295.834	1.788	Visual_Different	1	left	1.413	297.622	297.247
303.339	1.789	Auditory_Same	1	right	1.077	305.128	304.416
305.93	1.789	Auditory_Lure	1	left	0.732	307.719	306.662
308.221	1.788	Auditory_Different	1	left	0.954	310.009	309.175
310.745	1.788	Auditory_Lure	1	left	1.335	312.533	312.08
313.336	1.789	Auditory_Lure	1	left	1.583	315.125	314.919
315.877	1.788	Auditory_Different	1	left	1.664	317.665	317.541
318.267	1.789	Auditory_Different	1	left	1.138	320.056	319.405
325.84	1.789	Visual_Same	0	left	1.108	327.629	326.948
328.431	1.789	Visual_Lure	1	left	1.009	330.22	329.44
330.704	1.789	Visual_Different	1	left	0.745	332.493	331.449
333.245	1.789	Visual_Lure	1	left	0.781	335.034	334.026
335.836	1.789	Visual_Lure	1	left	0.826	337.625	336.662
338.177	1.788	Visual_Different	1	left	0.647	339.965	338.824
340.718	1.788	Visual_Different	1	left	0.712	342.506	341.43
348.29	1.789	Auditory_Same	1	right	1.225	350.079	349.515
350.731	1.789	Auditory_Same	1	right	1.24	352.52	351.971
353.356	1.788	Auditory_Different	1	left	0.888	355.144	354.244
355.696	1.789	Auditory_Same	1	right	1.082	357.485	356.778
358.237	1.788	Auditory_Lure	1	left	1.653	360.025	359.89
365.943	1.789	Visual_Lure	1	left	0.832	367.732	366.775
368.334	1.772	Visual_Lure	1	left	0.778	370.106	369.112
370.858	1.789	Visual_Different	1	left	0.776	372.647	371.634
373.399	1.788	Visual_Same	1	right	1.382	375.187	374.781
375.739	1.789	Visual_Lure	1	left	1.214	377.528	376.953
383.345	1.789	Auditory_Lure	0	right	1.209	385.134	384.554
385.92	1.788	Auditory_Different	1	left	0.956	387.708	386.876
388.26	1.789	Auditory_Lure	1	left	0.906	390.049	389.166
390.801	1.788	Auditory_Same	1	right	1.099	392.589	391.9
393.342	1.788	Auditory_Same	1	right	1.198	395.13	394.54
395.665	1.789	Auditory_Different	1	left	1.359	397.454	397.024
403.238	1.789	Visual_Lure	1	left	1.554	405.027	404.792
405.829	1.789	Visual_Different	1	left	1.162	407.618	406.991
408.42	1.789	Visual_Lure	0	NA	NA	410.209	NA
410.694	1.788	Visual_Same	1	right	1.347	412.482	412.041
413.285	1.788	Visual_Same	1	right	1.081	415.073	414.366
415.725	1.789	Visual_Different	1	left	0.82	417.514	416.545
423.432	1.788	Auditory_Different	1	left	0.805	425.22	424.237
425.872	1.789	Auditory_Different	1	left	0.77	427.661	426.642
428.213	1.788	Auditory_Lure	0	right	1.207	430.001	429.42
430.904	1.789	Auditory_Same	1	right	1.134	432.693	432.038
433.228	1.788	Auditory_Same	1	right	1.339	435.016	434.567
435.769	1.788	Auditory_Different	1	left	1.475	437.557	437.244
443.391	1.789	Visual_Different	1	left	0.888	445.18	444.279
445.815	1.789	Visual_Same	1	right	1.033	447.604	446.848
448.206	1.788	Visual_Lure	1	left	1.056	449.994	449.262
450.847	1.789	Visual_Same	1	right	1.063	452.636	451.91
453.238	1.788	Visual_Same	1	right	0.863	455.026	454.101
455.879	1.788	Visual_Lure	1	left	1.13	457.667	457.009
458.253	1.788	Visual_Lure	1	left	1.034	460.041	459.287
465.942	1.789	Auditory_Lure	1	left	1.201	467.731	467.143
468.266	1.788	Auditory_Different	1	left	0.992	470.054	469.258
470.857	1.789	Auditory_Same	1	right	1.076	472.646	471.933
473.197	1.789	Auditory_Different	1	left	1.321	474.986	474.518
475.788	1.789	Auditory_Different	1	left	1.414	477.577	477.202
478.329	1.789	Auditory_Same	1	right	1.636	480.118	479.965
480.853	1.789	Auditory_Same	1	right	1.175	482.642	482.028
488.292	1.789	Visual_Same	0	NA	NA	490.081	NA
490.917	1.789	Visual_Same	1	right	0.772	492.706	491.689
493.207	1.789	Visual_Different	1	left	0.789	494.996	493.996
495.848	1.789	Visual_Same	1	right	1.183	497.637	497.031
498.189	1.788	Visual_Lure	1	left	0.882	499.977	499.071
505.728	1.789	Auditory_Lure	1	left	1.276	507.517	507.004
508.269	1.788	Auditory_Lure	1	left	0.979	510.057	509.248
510.81	1.788	Auditory_Same	1	right	1.01	512.598	511.82
513.351	1.788	Auditory_Different	1	left	1.039	515.139	514.39
515.691	1.789	Auditory_Different	1	left	1.058	517.48	516.749
518.265	1.789	Auditory_Lure	1	left	1.349	520.054	519.614
525.788	1.788	Visual_Same	1	right	0.955	527.576	526.743
528.379	1.789	Visual_Different	1	left	0.836	530.168	529.215
530.803	1.789	Visual_Same	1	right	0.841	532.592	531.644
533.394	1.789	Visual_Lure	1	left	0.905	535.183	534.299
535.734	1.789	Visual_Lure	1	left	0.868	537.523	536.602
538.275	1.789	Visual_Different	1	left	0.746	540.064	539.021
540.666	1.788	Visual_Different	1	left	0.642	542.454	541.308
548.439	1.789	Auditory_Different	1	left	0.959	550.228	549.398
550.779	1.789	Auditory_Different	1	left	1.144	552.568	551.923
553.404	1.788	Auditory_Lure	1	left	1.587	555.192	554.991
555.694	1.789	Auditory_Different	1	left	1.003	557.483	556.697
558.235	1.789	Auditory_Same	1	right	1.535	560.024	559.77
565.891	1.789	Visual_Same	1	right	1.32	567.68	567.211
568.415	1.789	Visual_Same	1	right	0.893	570.204	569.308
570.706	1.788	Visual_Different	1	left	1.352	572.494	572.058
573.347	1.788	Visual_Lure	1	left	0.71	575.135	574.057
575.737	1.789	Visual_Lure	1	left	0.798	577.526	576.535
578.261	1.789	Visual_Same	1	right	1.749	580.05	580.01
585.834	1.789	Auditory_Lure	1	left	1.758	587.623	587.592
588.375	1.789	Auditory_Lure	1	left	1.714	590.164	590.089
590.916	1.789	Auditory_Different	1	left	1.422	592.705	592.338
593.189	1.789	Auditory_Same	1	right	1.055	594.978	594.244
595.831	1.788	Auditory_Lure	1	left	1.46	597.619	597.291
603.437	1.788	Visual_Different	1	left	0.969	605.225	604.406
605.877	1.789	Visual_Different	1	left	1.05	607.666	606.927
608.402	1.788	Visual_Same	1	right	0.907	610.19	609.309
610.742	1.789	Visual_Lure	1	left	1.021	612.531	611.763
613.183	1.788	Visual_Different	1	left	0.983	614.971	614.166
620.789	1.788	Auditory_Same	1	right	1.258	622.577	622.047
623.313	1.789	Auditory_Same	1	right	1.003	625.102	624.316
625.753	1.789	Auditory_Different	1	left	1.106	627.542	626.859
628.395	1.788	Auditory_Lure	1	left	1.734	630.183	630.129
630.835	1.789	Auditory_Lure	0	right	1.533	632.624	632.368
633.276	1.789	Auditory_Same	1	right	0.898	635.065	634.174
640.832	1.789	Visual_Different	1	left	0.959	642.621	641.791
643.272	1.789	Visual_Lure	1	left	0.805	645.061	644.077
645.813	1.789	Visual_Different	1	left	1.272	647.602	647.085
648.354	1.789	Visual_Same	1	right	1.261	650.143	649.615
