"onset"	"trial_type"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
9.73599999999999	"Contingent"	NA	NA	0.97	10.691	NA
11.291	"Contingent"	NA	NA	2.808	14.08	NA
14.734	"Contingent"	"left"	1.14	2.809	17.52	15.874
18.329	"Contingent"	"right"	1.011	2.808	21.111	19.34
21.923	"Contingent"	"left"	1.248	2.791	24.702	23.171
25.199	"NonContingent"	"left"	1.082	2.808	27.991	26.281
28.893	"Contingent"	"left"	1.265	2.809	31.682	30.158
32.337	"Contingent"	"left"	1.508	2.808	35.122	33.845
35.78	"Contingent"	"right"	1.764	2.809	38.562	37.544
39.207	"NonContingent"	"left"	1.298	2.809	42.002	40.505
42.852	"Contingent"	"left"	0.847	2.808	45.643	43.699
46.295	"NonContingent"	"left"	1.502	2.808	49.083	47.797
49.739	"NonContingent"	"left"	1.462	2.808	52.523	51.201
55.456	"NonContingent"	"right"	1.666	2.808	58.24	57.122
58.899	"Contingent"	"left"	0.877	2.792	61.68	59.776
62.226	"NonContingent"	"left"	1.421	2.808	65.019	63.647
65.82	"NonContingent"	"left"	1.473	2.808	68.61	67.293
69.264	"Contingent"	"left"	1.413	2.808	72.05	70.677
72.858	"Contingent"	"left"	0.825	2.808	75.641	73.683
76.234	"Contingent"	"left"	0.861	2.809	79.03	77.095
79.678	"NonContingent"	"left"	1.421	2.808	82.47	81.099
83.372	"Contingent"	"right"	1.512	2.809	86.161	84.884
86.766	"NonContingent"	"left"	1.472	2.808	89.551	88.238
90.309	"Contingent"	"left"	1.246	2.809	93.092	91.555
93.636	"Contingent"	"left"	0.765	2.808	96.431	94.401
97.23	"Contingent"	"right"	1.605	2.809	100.022	98.835
102.747	"Contingent"	"left"	1.748	2.808	105.537	104.495
106.29	"Contingent"	"left"	0.832	2.809	109.077	107.122
109.834	"NonContingent"	"left"	1.465	2.809	112.618	111.299
113.378	"NonContingent"	"left"	1.828	2.792	116.159	115.206
116.905	"NonContingent"	"left"	0.97	2.809	119.699	117.875
120.349	"NonContingent"	"right"	1.327	2.808	123.139	121.676
123.742	"Contingent"	"left"	0.723	2.809	126.528	124.465
127.387	"Contingent"	"right"	1.518	2.808	130.169	128.905
130.663	"Contingent"	"left"	0.816	2.808	133.458	131.479
134.257	"NonContingent"	"right"	1.627	2.808	137.049	135.884
137.701	"Contingent"	"right"	0.97	2.808	140.489	138.671
141.345	"Contingent"	"right"	0.742	2.808	144.13	142.087
144.638	"NonContingent"	"right"	1.195	2.792	147.419	145.833
150.405	"Contingent"	"left"	0.793	2.808	153.187	151.198
153.732	"NonContingent"	"right"	1.343	2.808	156.526	155.075
157.426	"Contingent"	"left"	1.1	2.808	160.217	158.526
160.769	"NonContingent"	"right"	1.249	2.809	163.556	162.018
164.313	"NonContingent"	"left"	0.884	2.809	167.097	165.197
167.857	"NonContingent"	"left"	0.838	2.792	170.638	168.695
171.234	"NonContingent"	"right"	1.372	2.808	174.027	172.606
174.878	"NonContingent"	"left"	0.851	2.808	177.668	175.729
178.171	"Contingent"	"left"	0.74	2.809	180.957	178.911
181.765	"NonContingent"	"right"	1.237	2.809	184.548	183.002
185.359	"Contingent"	"left"	0.767	2.792	188.139	186.126
188.736	"Contingent"	"left"	1.031	2.808	191.529	189.767
192.129	"NonContingent"	"left"	1.381	2.809	194.919	193.51
197.846	"Contingent"	"right"	1.778	2.809	200.635	199.624
201.39	"NonContingent"	"left"	0.906	2.809	204.176	202.296
204.934	"NonContingent"	"right"	1.16	2.809	207.716	206.094
208.261	"NonContingent"	"right"	1.508	2.808	211.055	209.769
211.704	"NonContingent"	"right"	1.278	2.809	214.495	212.982
215.399	"NonContingent"	"right"	0.714	2.808	218.186	216.113
218.842	"NonContingent"	"right"	1.382	2.809	221.626	220.224
222.236	"NonContingent"	"right"	1.491	2.791	225.015	223.727
225.663	"NonContingent"	"left"	1.191	2.808	228.455	226.854
229.257	"Contingent"	"right"	1.364	2.808	232.046	230.621
232.8	"Contingent"	"left"	0.812	2.809	235.587	233.612
236.344	"Contingent"	"left"	0.74	2.809	239.127	237.084
239.671	"Contingent"	"right"	1.292	2.808	242.466	240.963
245.288	"NonContingent"	"right"	1.196	2.808	248.083	246.484
248.731	"NonContingent"	"right"	1.079	2.809	251.523	249.81
252.375	"Contingent"	"left"	1.423	2.809	255.164	253.798
255.819	"NonContingent"	"left"	1.103	2.808	258.604	256.922
259.413	"NonContingent"	"right"	1.314	2.808	262.195	260.727
262.689	"Contingent"	"left"	0.836	2.809	265.484	263.525
266.283	"Contingent"	"right"	1.195	2.809	269.075	267.478
269.727	"NonContingent"	"left"	0.766	2.808	272.515	270.493
273.371	"Contingent"	"right"	1.012	2.809	276.156	274.383
276.815	"NonContingent"	"right"	1.534	2.808	279.596	278.349
280.342	"NonContingent"	"right"	0.776	2.808	283.136	281.118
283.685	"NonContingent"	"right"	1.066	2.809	286.475	284.751
287.279	"Contingent"	"left"	0.772	2.809	290.066	288.051
292.746	"NonContingent"	"right"	1.094	2.808	295.532	293.84
296.34	"NonContingent"	"right"	1.574	2.808	299.123	297.914
299.934	"NonContingent"	"left"	1.414	2.791	302.714	301.348
303.26	"Contingent"	"right"	0.943	2.809	306.053	304.203
