onset	trial_type
33.251	Auditory_Different
35.925	Auditory_Different
43.297	Auditory_Different
73.437	Auditory_Different
78.319	Auditory_Different
115.864	Auditory_Different
123.219	Auditory_Different
125.861	Auditory_Different
163.356	Auditory_Different
165.746	Auditory_Different
205.782	Auditory_Different
243.295	Auditory_Different
245.735	Auditory_Different
283.214	Auditory_Different
313.237	Auditory_Different
315.778	Auditory_Different
320.793	Auditory_Different
355.797	Auditory_Different
358.388	Auditory_Different
390.785	Auditory_Different
435.752	Auditory_Different
478.296	Auditory_Different
508.269	Auditory_Different
518.316	Auditory_Different
548.322	Auditory_Different
553.186	Auditory_Different
555.878	Auditory_Different
588.375	Auditory_Different
590.765	Auditory_Different
600.661	Auditory_Different
628.327	Auditory_Different
633.359	Auditory_Different
670.921	Auditory_Different
680.868	Auditory_Different
683.308	Auditory_Different
718.196	Auditory_Different
40.756	Auditory_Lure
80.709	Auditory_Lure
83.25	Auditory_Lure
113.423	Auditory_Lure
118.254	Auditory_Lure
120.846	Auditory_Lure
158.324	Auditory_Lure
168.17	Auditory_Lure
195.836	Auditory_Lure
198.377	Auditory_Lure
203.208	Auditory_Lure
235.789	Auditory_Lure
238.229	Auditory_Lure
248.326	Auditory_Lure
278.433	Auditory_Lure
280.773	Auditory_Lure
288.279	Auditory_Lure
318.369	Auditory_Lure
348.392	Auditory_Lure
353.256	Auditory_Lure
395.867	Auditory_Lure
403.272	Auditory_Lure
405.663	Auditory_Lure
438.344	Auditory_Lure
440.884	Auditory_Lure
475.755	Auditory_Lure
505.828	Auditory_Lure
510.91	Auditory_Lure
545.931	Auditory_Lure
593.356	Auditory_Lure
630.768	Auditory_Lure
640.865	Auditory_Lure
643.155	Auditory_Lure
675.736	Auditory_Lure
678.277	Auditory_Lure
723.378	Auditory_Lure
38.366	Auditory_Same
85.774	Auditory_Same
110.749	Auditory_Same
155.733	Auditory_Same
160.915	Auditory_Same
200.918	Auditory_Same
240.921	Auditory_Same
285.855	Auditory_Same
323.384	Auditory_Same
350.715	Auditory_Same
360.779	Auditory_Same
363.37	Auditory_Same
393.225	Auditory_Same
398.24	Auditory_Same
400.832	Auditory_Same
430.938	Auditory_Same
433.329	Auditory_Same
443.175	Auditory_Same
470.941	Auditory_Same
473.365	Auditory_Same
480.687	Auditory_Same
513.351	Auditory_Same
515.674	Auditory_Same
550.763	Auditory_Same
558.268	Auditory_Same
560.659	Auditory_Same
595.897	Auditory_Same
598.238	Auditory_Same
635.699	Auditory_Same
638.274	Auditory_Same
668.38	Auditory_Same
673.312	Auditory_Same
713.231	Auditory_Same
715.772	Auditory_Same
720.787	Auditory_Same
13.324	Visual_Different
25.711	Visual_Different
55.818	Visual_Different
63.374	Visual_Different
65.764	Visual_Different
98.211	Visual_Different
135.824	Visual_Different
140.905	Visual_Different
143.246	Visual_Different
183.299	Visual_Different
185.89	Visual_Different
213.238	Visual_Different
263.405	Visual_Different
265.845	Visual_Different
295.835	Visual_Different
298.225	Visual_Different
303.357	Visual_Different
330.889	Visual_Different
333.28	Visual_Different
340.836	Visual_Different
370.742	Visual_Different
375.757	Visual_Different
420.741	Visual_Different
453.422	Visual_Different
463.168	Visual_Different
498.239	Visual_Different
533.193	Visual_Different
535.835	Visual_Different
573.363	Visual_Different
608.334	Visual_Different
610.725	Visual_Different
620.671	Visual_Different
655.91	Visual_Different
690.831	Visual_Different
695.745	Visual_Different
18.406	Visual_Lure
20.763	Visual_Lure
53.377	Visual_Lure
60.85	Visual_Lure
103.393	Visual_Lure
133.283	Visual_Lure
175.893	Visual_Lure
178.234	Visual_Lure
188.28	Visual_Lure
218.37	Visual_Lure
225.675	Visual_Lure
228.216	Visual_Lure
255.882	Visual_Lure
260.763	Visual_Lure
300.766	Visual_Lure
338.195	Visual_Lure
378.398	Visual_Lure
380.839	Visual_Lure
418.217	Visual_Lure
450.731	Visual_Lure
455.812	Visual_Lure
490.867	Visual_Lure
495.899	Visual_Lure
528.212	Visual_Lure
538.275	Visual_Lure
575.888	Visual_Lure
613.349	Visual_Lure
650.878	Visual_Lure
653.319	Visual_Lure
660.674	Visual_Lure
693.372	Visual_Lure
703.218	Visual_Lure
705.859	Visual_Lure
10.75	Visual_Same
15.865	Visual_Same
93.297	Visual_Same
95.888	Visual_Same
100.802	Visual_Same
145.67	Visual_Same
148.211	Visual_Same
180.908	Visual_Same
215.779	Visual_Same
220.794	Visual_Same
223.385	Visual_Same
258.323	Visual_Same
268.169	Visual_Same
270.86	Visual_Same
305.781	Visual_Same
373.316	Visual_Same
383.379	Visual_Same
415.826	Visual_Same
423.332	Visual_Same
458.403	Visual_Same
460.777	Visual_Same
493.308	Visual_Same
525.888	Visual_Same
530.753	Visual_Same
568.432	Visual_Same
570.822	Visual_Same
580.668	Visual_Same
615.89	Visual_Same
618.231	Visual_Same
658.233	Visual_Same
698.387	Visual_Same
700.777	Visual_Same
