"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.327	"recently_learned_faces_baseline"	0	NA	NA	0.133	"recently_learned_faces_baseline"	10.44	NA
11.296	"recently_learned_faces_baseline"	0	NA	NA	2.508	"recently_learned_faces_baseline"	13.777	NA
14.723	"famous_faces_baseline"	1	"left"	1.468	2.508	"famous_faces_baseline"	17.215	16.191
18.367	"famous_faces_baseline"	1	"right"	0.837	2.508	"famous_faces_baseline"	20.854	19.204
21.811	"famous_faces_false_combination"	1	"right"	1.584	2.507	"famous_faces"	24.292	23.395
25.238	"famous_faces_correct_combination"	1	"left"	1.072	2.507	"famous_faces"	27.73	26.31
28.882	"recently_learned_faces_false_combination"	1	"right"	1.186	2.508	"recently_learned_faces"	31.369	30.068
32.326	"recently_learned_faces_false_combination"	1	"right"	1.338	2.507	"recently_learned_faces"	34.807	33.664
35.753	"famous_faces_false_combination"	1	"right"	1.048	2.507	"famous_faces"	38.245	36.801
39.146	"famous_faces_baseline"	1	"left"	1.149	2.508	"famous_faces_baseline"	41.633	40.295
42.84	"recently_learned_faces_baseline"	1	"left"	1.149	2.508	"recently_learned_faces_baseline"	45.322	43.989
46.117	"famous_faces_false_combination"	1	"right"	0.859	2.507	"famous_faces"	48.609	46.976
49.761	"famous_faces_baseline"	1	"right"	1.72	2.508	"famous_faces_baseline"	52.248	51.481
55.344	"famous_faces_baseline"	1	"right"	0.791	2.525	"famous_faces_baseline"	57.839	56.135
58.788	"recently_learned_faces_correct_combination"	1	"left"	0.907	2.507	"recently_learned_faces"	61.277	59.695
62.432	"recently_learned_faces_false_combination"	1	"right"	0.913	2.508	"recently_learned_faces"	64.916	63.345
65.876	"famous_faces_correct_combination"	1	"left"	1.158	2.507	"famous_faces"	68.354	67.034
69.202	"famous_faces_false_combination"	1	"right"	0.817	2.508	"famous_faces"	71.691	70.019
72.897	"recently_learned_faces_false_combination"	0	"left"	1.767	2.507	"recently_learned_faces"	75.38	74.664
76.173	"famous_faces_false_combination"	1	"right"	1.204	2.508	"famous_faces"	78.667	77.377
79.767	"recently_learned_faces_false_combination"	1	"right"	1.259	2.508	"recently_learned_faces"	82.256	81.026
83.311	"recently_learned_faces_false_combination"	0	"left"	1.377	2.508	"recently_learned_faces"	85.795	84.688
86.688	"famous_faces_baseline"	1	"right"	1.403	2.507	"famous_faces_baseline"	89.182	88.091
90.332	"famous_faces_baseline"	1	"right"	0.906	2.508	"famous_faces_baseline"	92.821	91.238
93.776	"famous_faces_false_combination"	1	"right"	1.165	2.507	"famous_faces"	96.259	94.941
