onset	trial_type
11.398	Contingent
14.724	Contingent
18.419	Contingent
21.812	Contingent
28.8	Contingent
32.344	Contingent
35.67	Contingent
42.808	Contingent
58.789	Contingent
69.221	Contingent
72.848	Contingent
76.191	Contingent
83.379	Contingent
90.15	Contingent
93.794	Contingent
97.338	Contingent
102.904	Contingent
106.448	Contingent
123.733	Contingent
127.277	Contingent
130.671	Contingent
137.658	Contingent
141.185	Contingent
150.396	Contingent
157.283	Contingent
178.28	Contingent
185.351	Contingent
188.794	Contingent
197.955	Contingent
229.265	Contingent
232.659	Contingent
236.286	Contingent
239.679	Contingent
252.434	Contingent
262.899	Contingent
266.242	Contingent
273.263	Contingent
287.288	Contingent
303.32	Contingent
313.684	Contingent
320.872	Contingent
324.265	Contingent
327.692	Contingent
331.236	Contingent
343.891	Contingent
350.912	Contingent
354.305	Contingent
357.749	Contingent
361.192	Contingent
364.87	Contingent
368.263	Contingent
371.807	Contingent
382.322	Contingent
391.282	Contingent
398.32	Contingent
408.734	Contingent
415.822	Contingent
419.349	Contingent
435.447	Contingent
445.711	Contingent
452.849	Contingent
459.67	Contingent
477.272	Contingent
482.789	Contingent
486.232	Contingent
489.877	Contingent
507.379	Contingent
510.655	Contingent
514.299	Contingent
521.337	Contingent
524.731	Contingent
25.406	NonContingent
39.214	NonContingent
46.202	NonContingent
49.729	NonContingent
55.346	NonContingent
62.383	NonContingent
65.927	NonContingent
79.785	NonContingent
86.706	NonContingent
109.775	NonContingent
113.219	NonContingent
116.813	NonContingent
120.357	NonContingent
134.365	NonContingent
144.779	NonContingent
153.74	NonContingent
160.827	NonContingent
164.405	NonContingent
167.748	NonContingent
171.392	NonContingent
174.685	NonContingent
181.807	NonContingent
192.188	NonContingent
201.282	NonContingent
204.825	NonContingent
208.219	NonContingent
211.863	NonContingent
215.407	NonContingent
218.684	NonContingent
222.328	NonContingent
225.721	NonContingent
245.296	NonContingent
248.89	NonContingent
255.811	NonContingent
259.204	NonContingent
269.686	NonContingent
276.807	NonContingent
280.351	NonContingent
283.644	NonContingent
292.755	NonContingent
296.282	NonContingent
299.926	NonContingent
306.863	NonContingent
310.24	NonContingent
317.328	NonContingent
334.78	NonContingent
340.246	NonContingent
347.267	NonContingent
375.201	NonContingent
378.644	NonContingent
387.939	NonContingent
394.726	NonContingent
401.864	NonContingent
405.291	NonContingent
412.178	NonContingent
422.743	NonContingent
426.186	NonContingent
429.78	NonContingent
438.891	NonContingent
442.268	NonContingent
449.305	NonContingent
456.293	NonContingent
463.214	NonContingent
466.858	NonContingent
470.151	NonContingent
473.728	NonContingent
493.32	NonContingent
496.898	NonContingent
500.241	NonContingent
503.785	NonContingent
517.693	NonContingent
530.247	NonContingent
