onset	trial_type
39.25	famous_faces_baseline
49.665	famous_faces_baseline
55.248	famous_faces_baseline
86.742	famous_faces_baseline
90.336	famous_faces_baseline
130.857	famous_faces_baseline
137.828	famous_faces_baseline
150.299	famous_faces_baseline
157.22	famous_faces_baseline
192.258	famous_faces_baseline
211.85	famous_faces_baseline
229.252	famous_faces_baseline
255.915	famous_faces_baseline
276.643	famous_faces_baseline
419.186	famous_faces_baseline
426.274	famous_faces_baseline
429.651	famous_faces_baseline
459.858	famous_faces_baseline
466.745	famous_faces_baseline
482.743	famous_faces_baseline
496.802	famous_faces_baseline
510.693	famous_faces_baseline
517.831	famous_faces_baseline
554.658	famous_faces_baseline
598.773	famous_faces_baseline
609.338	famous_faces_baseline
653.303	famous_faces_baseline
663.717	famous_faces_baseline
690.38	famous_faces_baseline
693.674	famous_faces_baseline
711.209	famous_faces_baseline
723.83	famous_faces_baseline
781.737	famous_faces_baseline
25.392	famous_faces_correct_combination
65.813	famous_faces_correct_combination
106.284	famous_faces_correct_combination
123.836	famous_faces_correct_combination
141.222	famous_faces_correct_combination
222.164	famous_faces_correct_combination
248.793	famous_faces_correct_combination
252.371	famous_faces_correct_combination
266.279	famous_faces_correct_combination
273.3	famous_faces_correct_combination
313.721	famous_faces_correct_combination
371.694	famous_faces_correct_combination
394.78	famous_faces_correct_combination
405.395	famous_faces_correct_combination
412.316	famous_faces_correct_combination
422.831	famous_faces_correct_combination
463.201	famous_faces_correct_combination
530.352	famous_faces_correct_combination
544.193	famous_faces_correct_combination
547.838	famous_faces_correct_combination
588.208	famous_faces_correct_combination
595.229	famous_faces_correct_combination
619.803	famous_faces_correct_combination
625.336	famous_faces_correct_combination
632.374	famous_faces_correct_combination
697.201	famous_faces_correct_combination
730.902	famous_faces_correct_combination
741.316	famous_faces_correct_combination
774.866	famous_faces_correct_combination
785.331	famous_faces_correct_combination
788.674	famous_faces_correct_combination
792.352	famous_faces_correct_combination
21.748	famous_faces_false_combination
35.706	famous_faces_false_combination
46.321	famous_faces_false_combination
69.407	famous_faces_false_combination
76.378	famous_faces_false_combination
93.73	famous_faces_false_combination
178.299	famous_faces_false_combination
185.187	famous_faces_false_combination
188.614	famous_faces_false_combination
201.285	famous_faces_false_combination
208.423	famous_faces_false_combination
269.873	famous_faces_false_combination
283.715	famous_faces_false_combination
296.436	famous_faces_false_combination
299.829	famous_faces_false_combination
347.221	famous_faces_false_combination
354.342	famous_faces_false_combination
368.351	famous_faces_false_combination
375.322	famous_faces_false_combination
391.387	famous_faces_false_combination
415.759	famous_faces_false_combination
470.323	famous_faces_false_combination
473.666	famous_faces_false_combination
503.773	famous_faces_false_combination
521.208	famous_faces_false_combination
558.352	famous_faces_false_combination
561.746	famous_faces_false_combination
565.173	famous_faces_false_combination
628.93	famous_faces_false_combination
635.75	famous_faces_false_combination
642.788	famous_faces_false_combination
646.165	famous_faces_false_combination
667.144	famous_faces_false_combination
683.209	famous_faces_false_combination
720.287	famous_faces_false_combination
771.322	famous_faces_false_combination
7.90700000000001	recently_learned_faces_baseline
11.233	recently_learned_faces_baseline
42.777	recently_learned_faces_baseline
134.151	recently_learned_faces_baseline
164.358	recently_learned_faces_baseline
181.843	recently_learned_faces_baseline
225.808	recently_learned_faces_baseline
232.679	recently_learned_faces_baseline
236.273	recently_learned_faces_baseline
245.35	recently_learned_faces_baseline
303.256	recently_learned_faces_baseline
310.344	recently_learned_faces_baseline
331.173	recently_learned_faces_baseline
340.451	recently_learned_faces_baseline
343.778	recently_learned_faces_baseline
357.686	recently_learned_faces_baseline
361.28	recently_learned_faces_baseline
378.715	recently_learned_faces_baseline
387.943	recently_learned_faces_baseline
398.207	recently_learned_faces_baseline
435.452	recently_learned_faces_baseline
445.866	recently_learned_faces_baseline
452.837	recently_learned_faces_baseline
456.18	recently_learned_faces_baseline
477.109	recently_learned_faces_baseline
489.914	recently_learned_faces_baseline
507.316	recently_learned_faces_baseline
537.423	recently_learned_faces_baseline
577.944	recently_learned_faces_baseline
581.288	recently_learned_faces_baseline
591.802	recently_learned_faces_baseline
616.108	recently_learned_faces_baseline
676.439	recently_learned_faces_baseline
714.653	recently_learned_faces_baseline
751.731	recently_learned_faces_baseline
767.946	recently_learned_faces_baseline
102.957	recently_learned_faces_correct_combination
109.878	recently_learned_faces_correct_combination
116.698	recently_learned_faces_correct_combination
127.213	recently_learned_faces_correct_combination
144.766	recently_learned_faces_correct_combination
160.814	recently_learned_faces_correct_combination
167.785	recently_learned_faces_correct_combination
171.228	recently_learned_faces_correct_combination
259.208	recently_learned_faces_correct_combination
262.735	recently_learned_faces_correct_combination
280.187	recently_learned_faces_correct_combination
287.309	recently_learned_faces_correct_combination
292.892	recently_learned_faces_correct_combination
317.165	recently_learned_faces_correct_combination
327.629	recently_learned_faces_correct_combination
350.815	recently_learned_faces_correct_combination
401.801	recently_learned_faces_correct_combination
442.322	recently_learned_faces_correct_combination
486.387	recently_learned_faces_correct_combination
493.258	recently_learned_faces_correct_combination
540.766	recently_learned_faces_correct_combination
656.68	recently_learned_faces_correct_combination
672.795	recently_learned_faces_correct_combination
679.816	recently_learned_faces_correct_combination
686.853	recently_learned_faces_correct_combination
704.239	recently_learned_faces_correct_combination
707.615	recently_learned_faces_correct_combination
734.345	recently_learned_faces_correct_combination
737.889	recently_learned_faces_correct_combination
744.71	recently_learned_faces_correct_combination
755.174	recently_learned_faces_correct_combination
762.195	recently_learned_faces_correct_combination
32.313	recently_learned_faces_false_combination
62.286	recently_learned_faces_false_combination
72.7	recently_learned_faces_false_combination
79.721	recently_learned_faces_false_combination
83.315	recently_learned_faces_false_combination
97.257	recently_learned_faces_false_combination
113.322	recently_learned_faces_false_combination
197.858	recently_learned_faces_false_combination
215.243	recently_learned_faces_false_combination
218.887	recently_learned_faces_false_combination
239.817	recently_learned_faces_false_combination
320.859	recently_learned_faces_false_combination
324.236	recently_learned_faces_false_combination
364.824	recently_learned_faces_false_combination
382.109	recently_learned_faces_false_combination
408.672	recently_learned_faces_false_combination
449.243	recently_learned_faces_false_combination
500.379	recently_learned_faces_false_combination
514.137	recently_learned_faces_false_combination
524.601	recently_learned_faces_false_combination
533.879	recently_learned_faces_false_combination
551.214	recently_learned_faces_false_combination
568.817	recently_learned_faces_false_combination
584.865	recently_learned_faces_false_combination
605.794	recently_learned_faces_false_combination
639.194	recently_learned_faces_false_combination
660.274	recently_learned_faces_false_combination
700.795	recently_learned_faces_false_combination
727.224	recently_learned_faces_false_combination
748.153	recently_learned_faces_false_combination
758.818	recently_learned_faces_false_combination
