"onset"	"trial_type"
33.286	"Auditory_Different"
35.827	"Auditory_Different"
43.4	"Auditory_Different"
70.749	"Auditory_Different"
75.914	"Auditory_Different"
118.425	"Auditory_Different"
158.361	"Auditory_Different"
188.284	"Auditory_Different"
193.366	"Auditory_Different"
235.76	"Auditory_Different"
268.274	"Auditory_Different"
278.371	"Auditory_Different"
313.359	"Auditory_Different"
320.881	"Auditory_Different"
323.255	"Auditory_Different"
355.702	"Auditory_Different"
385.943	"Auditory_Different"
388.333	"Auditory_Different"
393.298	"Auditory_Different"
430.844	"Auditory_Different"
458.243	"Auditory_Different"
460.767	"Auditory_Different"
470.713	"Auditory_Different"
503.311	"Auditory_Different"
548.346	"Auditory_Different"
550.787	"Auditory_Different"
588.316	"Auditory_Different"
598.379	"Auditory_Different"
600.703	"Auditory_Different"
628.386	"Auditory_Different"
678.252	"Auditory_Different"
680.676	"Auditory_Different"
710.816	"Auditory_Different"
715.697	"Auditory_Different"
718.238	"Auditory_Different"
78.254	"Auditory_Lure"
80.795	"Auditory_Lure"
123.239	"Auditory_Lure"
153.346	"Auditory_Lure"
155.737	"Auditory_Lure"
163.293	"Auditory_Lure"
200.822	"Auditory_Lure"
230.928	"Auditory_Lure"
240.775	"Auditory_Lure"
270.815	"Auditory_Lure"
310.734	"Auditory_Lure"
315.9	"Auditory_Lure"
353.262	"Auditory_Lure"
390.858	"Auditory_Lure"
420.931	"Auditory_Lure"
463.408	"Auditory_Lure"
508.343	"Auditory_Lure"
540.94	"Auditory_Lure"
545.705	"Auditory_Lure"
593.398	"Auditory_Lure"
633.217	"Auditory_Lure"
640.873	"Auditory_Lure"
643.213	"Auditory_Lure"
673.37	"Auditory_Lure"
683.317	"Auditory_Lure"
708.442	"Auditory_Lure"
38.368	"Auditory_Same"
73.373	"Auditory_Same"
83.336	"Auditory_Same"
113.343	"Auditory_Same"
115.784	"Auditory_Same"
120.698	"Auditory_Same"
160.902	"Auditory_Same"
195.907	"Auditory_Same"
198.297	"Auditory_Same"
233.219	"Auditory_Same"
273.356	"Auditory_Same"
275.696	"Auditory_Same"
308.344	"Auditory_Same"
348.247	"Auditory_Same"
350.871	"Auditory_Same"
358.243	"Auditory_Same"
395.839	"Auditory_Same"
425.762	"Auditory_Same"
465.698	"Auditory_Same"
468.34	"Auditory_Same"
498.33	"Auditory_Same"
500.921	"Auditory_Same"
510.666	"Auditory_Same"
543.281	"Auditory_Same"
553.378	"Auditory_Same"
555.802	"Auditory_Same"
585.741	"Auditory_Same"
590.756	"Auditory_Same"
630.826	"Auditory_Same"
635.791	"Auditory_Same"
638.332	"Auditory_Same"
670.93	"Auditory_Same"
675.811	"Auditory_Same"
713.257	"Auditory_Same"
720.662	"Auditory_Same"
723.253	"Auditory_Same"
23.323	"Visual_Different"
55.77	"Visual_Different"
90.742	"Visual_Different"
130.795	"Visual_Different"
135.91	"Visual_Different"
175.813	"Visual_Different"
210.735	"Visual_Different"
213.326	"Visual_Different"
220.848	"Visual_Different"
255.903	"Visual_Different"
288.334	"Visual_Different"
293.349	"Visual_Different"
295.739	"Visual_Different"
330.945	"Visual_Different"
333.218	"Visual_Different"
338.3	"Visual_Different"
373.255	"Visual_Different"
375.696	"Visual_Different"
408.26	"Visual_Different"
440.824	"Visual_Different"
450.821	"Visual_Different"
485.792	"Visual_Different"
488.383	"Visual_Different"
525.895	"Visual_Different"
528.236	"Visual_Different"
565.882	"Visual_Different"
578.202	"Visual_Different"
608.443	"Visual_Different"
610.816	"Visual_Different"
620.83	"Visual_Different"
650.937	"Visual_Different"
655.718	"Visual_Different"
700.736	"Visual_Different"
13.276	"Visual_Lure"
18.408	"Visual_Lure"
20.699	"Visual_Lure"
58.361	"Visual_Lure"
60.735	"Visual_Lure"
95.924	"Visual_Lure"
103.229	"Visual_Lure"
133.236	"Visual_Lure"
145.824	"Visual_Lure"
180.845	"Visual_Lure"
253.262	"Visual_Lure"
285.743	"Visual_Lure"
335.859	"Visual_Lure"
368.374	"Visual_Lure"
378.37	"Visual_Lure"
403.395	"Visual_Lure"
405.719	"Visual_Lure"
413.392	"Visual_Lure"
438.283	"Visual_Lure"
478.236	"Visual_Lure"
480.777	"Visual_Lure"
490.774	"Visual_Lure"
518.289	"Visual_Lure"
523.354	"Visual_Lure"
570.696	"Visual_Lure"
573.287	"Visual_Lure"
613.207	"Visual_Lure"
658.242	"Visual_Lure"
660.682	"Visual_Lure"
690.89	"Visual_Lure"
693.414	"Visual_Lure"
698.195	"Visual_Lure"
10.836	"Visual_Same"
50.839	"Visual_Same"
53.43	"Visual_Same"
93.333	"Visual_Same"
98.197	"Visual_Same"
100.789	"Visual_Same"
138.351	"Visual_Same"
140.792	"Visual_Same"
170.949	"Visual_Same"
173.222	"Visual_Same"
178.254	"Visual_Same"
250.922	"Visual_Same"
258.344	"Visual_Same"
290.758	"Visual_Same"
298.28	"Visual_Same"
300.671	"Visual_Same"
340.741	"Visual_Same"
365.933	"Visual_Same"
370.814	"Visual_Same"
410.801	"Visual_Same"
445.906	"Visual_Same"
448.179	"Visual_Same"
483.418	"Visual_Same"
520.73	"Visual_Same"
530.827	"Visual_Same"
533.15	"Visual_Same"
563.341	"Visual_Same"
568.256	"Visual_Same"
615.848	"Visual_Same"
618.239	"Visual_Same"
653.327	"Visual_Same"
663.274	"Visual_Same"
695.804	"Visual_Same"
