onset	trial_type
30.775	Auditory_Different
73.235	Auditory_Different
118.22	Auditory_Different
153.292	Auditory_Different
160.848	Auditory_Different
198.36	Auditory_Different
280.857	Auditory_Different
283.231	Auditory_Different
315.845	Auditory_Different
320.911	Auditory_Different
363.221	Auditory_Different
400.867	Auditory_Different
408.222	Auditory_Different
410.663	Auditory_Different
443.294	Auditory_Different
473.434	Auditory_Different
483.38	Auditory_Different
485.754	Auditory_Different
518.419	Auditory_Different
563.403	Auditory_Different
565.744	Auditory_Different
605.78	Auditory_Different
630.939	Auditory_Different
633.38	Auditory_Different
640.785	Auditory_Different
668.234	Auditory_Different
670.875	Auditory_Different
680.772	Auditory_Different
713.369	Auditory_Different
723.165	Auditory_Different
28.351	Auditory_Lure
123.386	Auditory_Lure
158.223	Auditory_Lure
193.445	Auditory_Lure
195.836	Auditory_Lure
203.191	Auditory_Lure
273.234	Auditory_Lure
275.775	Auditory_Lure
285.822	Auditory_Lure
328.182	Auditory_Lure
330.757	Auditory_Lure
368.236	Auditory_Lure
398.326	Auditory_Lure
403.207	Auditory_Lure
405.882	Auditory_Lure
440.77	Auditory_Lure
478.299	Auditory_Lure
480.689	Auditory_Lure
520.792	Auditory_Lure
523.333	Auditory_Lure
555.73	Auditory_Lure
560.812	Auditory_Lure
598.425	Auditory_Lure
638.244	Auditory_Lure
673.416	Auditory_Lure
710.929	Auditory_Lure
715.76	Auditory_Lure
33.366	Auditory_Same
43.262	Auditory_Same
75.877	Auditory_Same
80.808	Auditory_Same
83.349	Auditory_Same
113.439	Auditory_Same
115.88	Auditory_Same
125.776	Auditory_Same
163.288	Auditory_Same
200.751	Auditory_Same
230.841	Auditory_Same
278.417	Auditory_Same
323.251	Auditory_Same
325.892	Auditory_Same
358.389	Auditory_Same
360.93	Auditory_Same
365.795	Auditory_Same
395.885	Auditory_Same
435.938	Auditory_Same
438.379	Auditory_Same
445.684	Auditory_Same
470.793	Auditory_Same
475.858	Auditory_Same
515.878	Auditory_Same
525.724	Auditory_Same
558.372	Auditory_Same
568.168	Auditory_Same
570.759	Auditory_Same
600.765	Auditory_Same
635.703	Auditory_Same
675.74	Auditory_Same
678.18	Auditory_Same
718.301	Auditory_Same
720.892	Auditory_Same
20.695	Visual_Different
53.326	Visual_Different
58.357	Visual_Different
60.748	Visual_Different
98.327	Visual_Different
103.309	Visual_Different
135.722	Visual_Different
145.786	Visual_Different
178.25	Visual_Different
180.69	Visual_Different
210.948	Visual_Different
213.372	Visual_Different
223.285	Visual_Different
250.934	Visual_Different
295.769	Visual_Different
305.782	Visual_Different
308.206	Visual_Different
345.752	Visual_Different
348.343	Visual_Different
375.741	Visual_Different
380.907	Visual_Different
423.418	Visual_Different
460.746	Visual_Different
498.359	Visual_Different
538.211	Visual_Different
578.331	Visual_Different
580.722	Visual_Different
588.378	Visual_Different
618.318	Visual_Different
655.696	Visual_Different
658.288	Visual_Different
693.309	Visual_Different
700.815	Visual_Different
703.256	Visual_Different
10.848	Visual_Lure
13.289	Visual_Lure
50.952	Visual_Lure
133.399	Visual_Lure
170.744	Visual_Lure
175.809	Visual_Lure
215.762	Visual_Lure
255.866	Visual_Lure
263.271	Visual_Lure
265.662	Visual_Lure
300.7	Visual_Lure
303.341	Visual_Lure
338.246	Visual_Lure
340.92	Visual_Lure
383.348	Visual_Lure
385.788	Visual_Lure
418.386	Visual_Lure
420.776	Visual_Lure
428.332	Visual_Lure
458.406	Visual_Lure
500.699	Visual_Lure
503.34	Visual_Lure
535.771	Visual_Lure
545.767	Visual_Lure
585.754	Visual_Lure
623.233	Visual_Lure
650.915	Visual_Lure
660.828	Visual_Lure
690.919	Visual_Lure
695.7	Visual_Lure
698.24	Visual_Lure
55.716	Visual_Same
63.372	Visual_Same
65.813	Visual_Same
105.9	Visual_Same
140.855	Visual_Same
143.395	Visual_Same
173.285	Visual_Same
183.382	Visual_Same
185.823	Visual_Same
218.303	Visual_Same
220.694	Visual_Same
253.275	Visual_Same
258.206	Visual_Same
260.847	Visual_Same
293.445	Visual_Same
298.41	Visual_Same
343.311	Visual_Same
378.333	Visual_Same
388.179	Visual_Same
425.691	Visual_Same
453.34	Visual_Same
455.781	Visual_Same
463.287	Visual_Same
493.444	Visual_Same
495.717	Visual_Same
505.781	Visual_Same
583.363	Visual_Same
613.236	Visual_Same
615.877	Visual_Same
620.892	Visual_Same
648.391	Visual_Same
653.256	Visual_Same
688.277	Visual_Same
