"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.85	"Visual_Same"	1	"right"	0.665	1.789	12.639	11.515
13.424	"Visual_Lure"	1	"left"	0.55	1.789	15.213	13.974
15.714	"Visual_Different"	0	"right"	0.645	1.789	17.503	16.359
18.255	"Visual_Lure"	1	"left"	1.453	1.789	20.044	19.708
20.847	"Visual_Lure"	1	"left"	1.305	1.788	22.635	22.152
23.287	"Visual_Different"	1	"left"	0.856	1.789	25.076	24.143
25.862	"Visual_Different"	1	"left"	0.603	1.788	27.65	26.465
33.301	"Auditory_Different"	0	NA	NA	1.788	35.089	NA
35.724	"Auditory_Same"	1	"right"	1.732	1.789	37.513	37.456
38.316	"Auditory_Lure"	0	"right"	1.244	1.788	40.104	39.56
40.856	"Auditory_Same"	1	"right"	0.87	1.789	42.645	41.726
43.397	"Auditory_Same"	1	"right"	1.526	1.789	45.186	44.923
45.688	"Auditory_Lure"	1	"left"	1.356	1.788	47.476	47.044
48.362	"Auditory_Lure"	1	"left"	1.515	1.789	50.151	49.877
55.902	"Visual_Different"	1	"left"	0.928	1.788	57.69	56.83
58.225	"Visual_Same"	1	"right"	1.057	1.789	60.014	59.282
60.766	"Visual_Different"	1	"left"	0.821	1.789	62.555	61.587
63.357	"Visual_Lure"	0	"right"	0.741	1.789	65.146	64.098
65.898	"Visual_Lure"	1	"left"	1.044	1.789	67.687	66.942
68.272	"Visual_Same"	1	"right"	1.102	1.789	70.061	69.374
75.895	"Auditory_Same"	0	NA	NA	1.789	77.684	NA
78.285	"Auditory_Same"	0	NA	NA	1.789	80.074	NA
80.81	"Auditory_Different"	0	NA	NA	1.788	82.598	NA
83.25	"Auditory_Lure"	0	"right"	1.289	1.789	85.039	84.539
85.891	"Auditory_Lure"	1	"left"	1.22	1.789	87.68	87.111
88.332	"Auditory_Same"	0	"left"	1.149	1.789	90.121	89.481
95.788	"Visual_Lure"	1	"left"	0.782	1.788	97.576	96.57
98.228	"Visual_Different"	0	"right"	0.793	1.789	100.017	99.021
100.87	"Visual_Lure"	1	"left"	0.811	1.788	102.658	101.681
103.21	"Visual_Same"	0	"left"	0.708	1.789	104.999	103.918
105.734	"Visual_Same"	0	"left"	0.722	1.789	107.523	106.456
108.376	"Visual_Different"	0	"right"	0.813	1.788	110.164	109.189
115.848	"Auditory_Different"	1	"left"	1.214	1.789	117.637	117.062
118.238	"Auditory_Different"	1	"left"	1.276	1.789	120.027	119.514
120.913	"Auditory_Lure"	0	"right"	1.17	1.789	122.702	122.083
123.203	"Auditory_Same"	1	"right"	1.136	1.789	124.992	124.339
125.794	"Auditory_Same"	1	"right"	0.858	1.789	127.583	126.652
128.335	"Auditory_Different"	1	"left"	1.193	1.789	130.124	129.528
135.841	"Visual_Lure"	0	NA	NA	1.789	137.63	NA
138.282	"Visual_Different"	1	"left"	1.356	1.789	140.071	139.638
140.923	"Visual_Same"	1	"right"	0.784	1.789	142.712	141.707
143.314	"Visual_Different"	1	"left"	0.7	1.772	145.086	144.014
145.687	"Visual_Different"	0	"right"	1.019	1.789	147.476	146.706
148.329	"Visual_Same"	1	"right"	1.331	1.788	150.117	149.66
150.87	"Visual_Same"	1	"right"	0.815	1.788	152.658	151.685
158.292	"Auditory_Same"	1	"right"	0.785	1.789	160.081	159.077
160.732	"Auditory_Lure"	0	"right"	0.622	1.789	162.521	161.354
163.374	"Auditory_Same"	1	"right"	0.677	1.788	165.162	164.051
165.798	"Auditory_Different"	1	"left"	0.678	1.788	167.586	166.476
168.389	"Auditory_Different"	0	"right"	0.595	1.788	170.177	168.984
170.729	"Auditory_Lure"	0	"right"	0.727	1.789	172.518	171.456
178.335	"Visual_Different"	1	"left"	0.596	1.789	180.124	178.931
180.776	"Visual_Lure"	1	"left"	0.855	1.789	182.565	181.631
183.367	"Visual_Different"	1	"left"	0.633	1.789	185.156	184
185.707	"Visual_Same"	1	"right"	0.842	1.789	187.496	186.549
188.298	"Visual_Same"	1	"right"	0.706	1.789	190.087	189.004
190.722	"Visual_Lure"	0	"right"	0.526	1.789	192.511	191.248
193.163	"Visual_Lure"	1	"left"	1.444	1.789	194.952	194.607
200.736	"Auditory_Lure"	1	"left"	1.033	1.788	202.524	201.769
203.427	"Auditory_Lure"	0	"right"	1.253	1.789	205.216	204.68
205.818	"Auditory_Different"	1	"left"	1.097	1.788	207.606	206.915
208.358	"Auditory_Same"	1	"right"	1.029	1.789	210.147	209.387
210.749	"Auditory_Lure"	0	"right"	0.816	1.772	212.521	211.565
218.389	"Visual_Lure"	1	"left"	0.731	1.788	220.177	219.12
220.929	"Visual_Lure"	1	"left"	0.953	1.789	222.718	221.882
223.32	"Visual_Same"	1	"right"	0.822	1.789	225.109	224.142
225.761	"Visual_Lure"	1	"left"	0.786	1.772	227.533	226.547
228.185	"Visual_Different"	1	"left"	0.794	1.788	229.973	228.979
235.941	"Auditory_Different"	1	"left"	0.932	1.789	237.73	236.873
238.281	"Auditory_Same"	1	"right"	1.005	1.789	240.07	239.286
240.722	"Auditory_Different"	1	"left"	0.772	1.789	242.511	241.494
243.297	"Auditory_Lure"	0	"right"	1.135	1.788	245.085	244.432
245.837	"Auditory_Lure"	0	"right"	1.187	1.789	247.626	247.024
248.278	"Auditory_Same"	1	"right"	1.005	1.789	250.067	249.283
255.934	"Visual_Same"	0	"left"	0.847	1.789	257.723	256.781
258.375	"Visual_Different"	1	"left"	0.778	1.789	260.164	259.153
260.715	"Visual_Same"	1	"right"	1.092	1.789	262.504	261.807
263.407	"Visual_Lure"	0	"right"	0.759	1.788	265.195	264.166
265.797	"Visual_Lure"	1	"left"	0.888	1.789	267.586	266.685
268.322	"Visual_Different"	1	"left"	0.835	1.788	270.11	269.157
270.712	"Visual_Different"	1	"left"	0.724	1.789	272.501	271.436
278.235	"Auditory_Same"	1	"right"	0.997	1.788	280.023	279.232
280.775	"Auditory_Lure"	1	"left"	1.356	1.789	282.564	282.131
283.367	"Auditory_Different"	1	"left"	1.725	1.788	285.155	285.092
285.908	"Auditory_Lure"	0	"right"	1.22	1.788	287.696	287.128
288.231	"Auditory_Lure"	0	"right"	1.106	1.789	290.02	289.337
290.872	"Auditory_Different"	1	"left"	0.708	1.789	292.661	291.58
293.313	"Auditory_Different"	1	"left"	0.916	1.789	295.102	294.229
300.735	"Visual_Lure"	1	"left"	0.679	1.789	302.524	301.414
303.427	"Visual_Lure"	1	"left"	0.98	1.788	305.215	304.407
