onset	duration	trial_type	accuracy	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.795	1.789	Visual_Lure	1	left	1.463	12.584	12.258
13.386	1.789	Visual_Lure	0	NA	NA	15.175	NA
15.71	1.789	Visual_Same	1	right	1.53	17.499	17.24
18.401	1.789	Visual_Lure	1	left	1.542	20.19	19.943
20.792	1.789	Visual_Different	0	NA	NA	22.581	NA
28.248	1.788	Auditory_Same	1	right	1.695	30.036	29.943
30.889	1.788	Auditory_Different	1	left	1.741	32.677	32.63
33.413	1.789	Auditory_Same	0	NA	NA	35.202	NA
35.753	1.789	Auditory_Lure	0	NA	NA	37.542	NA
38.294	1.789	Auditory_Lure	1	left	1.593	40.083	39.887
40.685	1.788	Auditory_Different	1	left	1.098	42.473	41.783
43.226	1.772	Auditory_Different	1	left	1.206	44.998	44.432
50.949	1.789	Visual_Lure	0	NA	NA	52.738	NA
53.272	1.789	Visual_Same	1	right	0.236	55.061	53.508
55.864	1.788	Visual_Lure	1	left	1.123	57.652	56.987
58.304	1.789	Visual_Different	1	left	0.877	60.093	59.181
60.695	1.788	Visual_Different	1	left	1.364	62.483	62.059
63.336	1.789	Visual_Same	1	right	1.174	65.125	64.51
65.76	1.788	Visual_Same	1	right	0.954	67.548	66.714
73.399	1.789	Auditory_Different	1	left	0.98	75.188	74.379
75.924	1.788	Auditory_Lure	0	right	1.323	77.712	77.247
78.314	1.789	Auditory_Different	0	NA	NA	80.103	NA
80.755	1.788	Auditory_Same	1	right	1.215	82.543	81.97
83.346	1.788	Auditory_Same	1	right	1.166	85.134	84.512
85.686	1.789	Auditory_Lure	0	right	1.144	87.475	86.83
88.361	1.788	Auditory_Lure	0	right	1.204	90.149	89.565
95.75	1.788	Visual_Same	1	right	1.051	97.538	96.801
98.424	1.789	Visual_Lure	1	left	0.996	100.213	99.42
100.765	1.788	Visual_Different	1	left	1.015	102.553	101.78
103.205	1.789	Visual_Lure	1	left	1.118	104.994	104.323
105.846	1.789	Visual_Lure	1	left	0.959	107.635	106.805
108.22	1.789	Visual_Different	1	left	1.051	110.009	109.271
110.861	1.789	Visual_Different	1	left	1.596	112.65	112.457
118.351	1.772	Auditory_Lure	0	right	1.022	120.123	119.373
120.724	1.789	Auditory_Different	1	left	1.657	122.513	122.381
123.265	1.789	Auditory_Same	1	right	0.958	125.054	124.223
125.906	1.789	Auditory_Different	1	left	1.007	127.695	126.913
128.297	1.789	Auditory_Different	1	left	1.295	130.086	129.592
130.838	1.772	Auditory_Same	1	right	1.239	132.61	132.077
133.362	1.789	Auditory_Same	1	right	0.887	135.151	134.249
140.834	1.789	Visual_Same	1	right	1.24	142.623	142.074
143.225	1.789	Visual_Lure	1	left	0.955	145.014	144.18
145.766	1.789	Visual_Same	1	right	1.031	147.555	146.797
148.307	1.789	Visual_Different	1	left	0.94	150.096	149.247
150.898	1.789	Visual_Different	1	left	1.075	152.687	151.973
153.322	1.789	Visual_Lure	1	left	0.905	155.111	154.227
160.794	1.789	Auditory_Same	1	right	0.921	162.583	161.715
163.235	1.789	Auditory_Same	1	right	1.014	165.024	164.249
165.809	1.789	Auditory_Different	1	left	1.392	167.598	167.201
168.35	1.789	Auditory_Lure	0	right	0.805	170.139	169.155
170.741	1.788	Auditory_Lure	0	right	1.6	172.529	172.341
173.282	1.788	Auditory_Same	1	right	1.003	175.07	174.285
180.737	1.789	Visual_Different	1	left	0.905	182.526	181.642
183.378	1.789	Visual_Different	1	left	0.901	185.167	184.279
185.819	1.789	Visual_Lure	1	left	1.17	187.608	186.989
188.26	1.788	Visual_Same	1	right	0.822	190.048	189.082
190.884	1.789	Visual_Same	1	right	0.703	192.673	191.587
193.325	1.789	Visual_Different	1	left	0.909	195.114	194.234
200.747	1.789	Auditory_Different	1	left	0.943	202.536	201.69
203.422	1.788	Auditory_Same	1	right	1.024	205.21	204.446
205.862	1.789	Auditory_Different	1	left	1.047	207.651	206.909
208.403	1.789	Auditory_Lure	1	left	1.372	210.192	209.775
210.744	1.788	Auditory_Lure	1	left	1.274	212.532	212.018
213.285	1.772	Auditory_Same	1	right	1.411	215.057	214.696
220.841	1.788	Visual_Different	1	left	0.966	222.629	221.807
223.281	1.789	Visual_Same	1	right	0.803	225.07	224.084
225.922	1.789	Visual_Lure	1	left	1.237	227.711	227.159
228.196	1.789	Visual_Same	1	right	0.874	229.985	229.07
230.737	1.789	Visual_Same	1	right	0.954	232.526	231.691
233.328	1.789	Visual_Lure	1	left	1.044	235.117	234.372
235.668	1.789	Visual_Lure	1	left	1.054	237.457	236.722
243.391	1.789	Auditory_Lure	1	left	1.089	245.18	244.48
245.732	1.788	Auditory_Same	1	right	0.987	247.52	246.719
248.406	1.789	Auditory_Lure	1	left	1.751	250.195	250.157
250.847	1.789	Auditory_Different	1	left	1.148	252.636	251.995
253.238	1.788	Auditory_Different	1	left	1.364	255.026	254.602
255.778	1.789	Auditory_Same	1	right	1.02	257.567	256.798
258.169	1.789	Auditory_Same	1	right	0.822	259.958	258.991
265.942	1.789	Visual_Different	1	left	0.886	267.731	266.828
268.333	1.788	Visual_Different	1	left	0.803	270.121	269.136
270.757	1.788	Visual_Lure	1	left	0.854	272.545	271.611
273.197	1.789	Visual_Different	1	left	0.764	274.986	273.961
275.788	1.789	Visual_Same	1	right	1.278	277.577	277.066
283.445	1.788	Auditory_Same	1	right	0.948	285.233	284.393
285.718	1.789	Auditory_Same	1	right	0.859	287.507	286.577
288.309	1.789	Auditory_Different	1	left	1.061	290.098	289.37
290.85	1.789	Auditory_Same	1	right	0.831	292.639	291.681
293.241	1.788	Auditory_Lure	1	left	1.634	295.029	294.875
300.947	1.789	Visual_Lure	1	left	0.868	302.736	301.815
303.371	1.789	Visual_Lure	1	left	1.118	305.16	304.489
305.711	1.789	Visual_Different	1	left	0.958	307.5	306.669
308.403	1.788	Visual_Same	1	right	1.262	310.191	309.665
310.793	1.789	Visual_Lure	1	left	1.234	312.582	312.027
318.382	1.789	Auditory_Lure	1	left	1.438	320.171	319.82
320.923	1.789	Auditory_Lure	1	left	0.978	322.712	321.901
323.214	1.788	Auditory_Same	1	right	0.914	325.002	324.128
325.754	1.789	Auditory_Different	1	left	1.196	327.543	326.95
328.295	1.772	Auditory_Different	1	left	0.992	330.067	329.287
330.87	1.788	Auditory_Lure	1	left	1.187	332.658	332.057
338.392	1.789	Visual_Same	1	right	1.477	340.181	339.869
340.783	1.772	Visual_Different	1	left	0.791	342.555	341.574
343.407	1.789	Visual_Same	1	right	1.723	345.196	345.13
345.798	1.788	Visual_Lure	1	left	1.219	347.586	347.017
348.188	1.789	Visual_Lure	1	left	0.871	349.977	349.059
350.729	1.789	Visual_Different	1	left	1.436	352.518	352.165
353.304	1.788	Visual_Different	1	left	0.934	355.092	354.238
360.843	1.788	Auditory_Lure	1	left	0.848	362.631	361.691
363.283	1.789	Auditory_Different	1	left	1.116	365.072	364.399
365.707	1.789	Auditory_Lure	1	left	1.061	367.496	366.768
368.349	1.788	Auditory_Same	1	right	0.96	370.137	369.309
370.789	1.789	Auditory_Same	1	right	1.052	372.578	371.841
373.38	1.789	Auditory_Different	1	left	1.295	375.169	374.675
380.736	1.788	Visual_Lure	1	left	0.945	382.524	381.681
383.277	1.788	Visual_Different	1	left	1.05	385.065	384.327
385.868	1.788	Visual_Same	1	right	1.117	387.656	386.985
388.392	1.789	Visual_Different	1	left	0.935	390.181	389.327
390.782	1.789	Visual_Different	1	left	0.998	392.571	391.78
393.173	1.789	Visual_Same	1	right	1.288	394.962	394.461
395.814	1.789	Visual_Same	1	right	1.277	397.603	397.091
403.387	1.788	Auditory_Different	1	left	0.75	405.175	404.137
405.777	1.789	Auditory_Different	1	left	0.896	407.566	406.673
408.218	1.789	Auditory_Lure	1	left	1.012	410.007	409.23
410.842	1.789	Auditory_Same	1	right	0.927	412.631	411.769
413.383	1.789	Auditory_Same	1	right	0.948	415.172	414.331
415.674	1.788	Auditory_Different	1	left	1.237	417.462	416.911
423.28	1.788	Visual_Same	1	right	1.481	425.068	424.761
425.821	1.788	Visual_Same	1	right	1.124	427.609	426.945
428.412	1.788	Visual_Different	1	left	0.831	430.2	429.243
430.702	1.788	Visual_Lure	1	left	1.008	432.49	431.71
433.393	1.789	Visual_Lure	1	left	0.871	435.182	434.264
435.717	1.788	Visual_Same	1	right	1.076	437.505	436.793
443.289	1.789	Auditory_Lure	1	left	1.112	445.078	444.401
445.83	1.789	Auditory_Lure	1	left	1.389	447.619	447.219
448.355	1.788	Auditory_Different	1	left	1.178	450.143	449.533
450.795	1.789	Auditory_Same	1	right	1.013	452.584	451.808
453.186	1.788	Auditory_Lure	1	left	1.074	454.974	454.26
460.842	1.789	Visual_Lure	1	left	1.053	462.631	461.895
463.383	1.772	Visual_Different	1	left	0.961	465.155	464.344
465.757	1.788	Visual_Lure	1	left	1.089	467.545	466.846
468.298	1.788	Visual_Same	1	right	1.737	470.086	470.035
470.688	1.789	Visual_Same	1	right	1.218	472.477	471.906
473.379	1.789	Visual_Different	1	left	0.91	475.168	474.289
480.935	1.789	Auditory_Same	1	right	1.382	482.724	482.317
483.443	1.621	Auditory_Lure	1	left	1.778	485.064	485.221
