onset	duration	trial_type	accuracy	button	response_time	trial_type_less_granular	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.342	0.017	recently_learned_faces_baseline	0	NA	NA	recently_learned_faces_baseline	10.342	NA
11.345	2.507	recently_learned_faces_baseline	0	NA	NA	recently_learned_faces_baseline	13.828	NA
14.772	2.524	famous_faces_baseline	0	NA	NA	famous_faces_baseline	17.266	NA
18.416	2.508	famous_faces_baseline	0	NA	NA	famous_faces_baseline	20.905	NA
21.86	2.507	famous_faces_false_combination	1	right	1.904	famous_faces	24.343	23.764
25.387	2.507	famous_faces_correct_combination	0	NA	NA	famous_faces	27.881	NA
28.83	2.508	recently_learned_faces_false_combination	0	NA	NA	recently_learned_faces	31.319	NA
32.224	2.507	recently_learned_faces_false_combination	1	right	2.049	recently_learned_faces	34.706	34.273
35.751	2.508	famous_faces_false_combination	1	right	1.601	famous_faces	38.245	37.352
39.145	2.507	famous_faces_baseline	1	left	1.856	famous_faces_baseline	41.633	41.001
42.839	2.508	recently_learned_faces_baseline	1	left	1.068	recently_learned_faces_baseline	45.322	43.907
46.216	2.507	famous_faces_false_combination	1	right	1.694	famous_faces	48.71	47.91
49.76	2.507	famous_faces_baseline	1	right	2.458	famous_faces_baseline	52.249	52.218
55.31	2.507	famous_faces_baseline	1	right	1.999	famous_faces_baseline	57.789	57.309
58.887	2.508	recently_learned_faces_correct_combination	0	NA	NA	recently_learned_faces	61.378	NA
62.23	2.508	recently_learned_faces_false_combination	1	right	1.956	recently_learned_faces	64.715	64.186
65.925	2.507	famous_faces_correct_combination	0	right	1.913	famous_faces	68.404	67.838
69.302	2.507	famous_faces_false_combination	1	right	1.688	famous_faces	71.792	70.99
72.896	2.507	recently_learned_faces_false_combination	1	right	1.466	recently_learned_faces	75.381	74.362
76.239	2.507	famous_faces_false_combination	1	right	1.938	famous_faces	78.718	78.177
79.666	2.507	recently_learned_faces_false_combination	1	right	1.33	recently_learned_faces	82.156	80.996
83.31	2.508	recently_learned_faces_false_combination	1	right	1.009	recently_learned_faces	85.795	84.319
86.754	2.507	famous_faces_baseline	1	right	2.339	famous_faces_baseline	89.233	89.093
90.181	2.507	famous_faces_baseline	1	right	1.605	famous_faces_baseline	92.671	91.786
93.825	2.507	famous_faces_false_combination	1	right	1.542	famous_faces	96.31	95.367
97.268	2.508	recently_learned_faces_false_combination	1	right	1.884	recently_learned_faces	99.748	99.152
102.802	2.507	recently_learned_faces_correct_combination	1	left	1.909	recently_learned_faces	105.288	104.711
106.346	2.507	famous_faces_correct_combination	1	left	2.408	famous_faces	108.827	108.754
109.923	2.507	recently_learned_faces_correct_combination	1	left	1.13	recently_learned_faces	112.416	111.053
113.367	2.507	recently_learned_faces_false_combination	1	right	1.24	recently_learned_faces	115.854	114.607
116.71	2.507	recently_learned_faces_correct_combination	1	left	1.7	recently_learned_faces	119.191	118.41
120.388	2.507	famous_faces_correct_combination	1	left	1.487	famous_faces	122.88	121.875
123.681	2.507	famous_faces_correct_combination	1	left	1.666	famous_faces	126.167	125.347
127.325	2.507	recently_learned_faces_correct_combination	1	left	1.183	recently_learned_faces	129.806	128.508
130.702	2.507	famous_faces_baseline	1	left	1.299	famous_faces_baseline	133.193	132.001
134.246	2.507	recently_learned_faces_baseline	1	right	1.558	recently_learned_faces_baseline	136.732	135.804
137.639	2.508	famous_faces_baseline	1	left	1.625	famous_faces_baseline	140.12	139.264
141.217	2.507	famous_faces_correct_combination	1	left	1.35	famous_faces	143.709	142.567
144.66	2.508	recently_learned_faces_correct_combination	1	left	1.524	recently_learned_faces	147.147	146.184
150.394	2.524	famous_faces_baseline	1	right	1.586	famous_faces_baseline	152.888	151.98
153.787	2.508	famous_faces_correct_combination	1	left	1.463	famous_faces	156.275	155.25
157.231	2.508	famous_faces_baseline	1	right	1.531	famous_faces_baseline	159.713	158.762
160.808	2.508	recently_learned_faces_correct_combination	1	left	1.535	recently_learned_faces	163.302	162.343
164.403	2.507	recently_learned_faces_baseline	1	left	1.476	recently_learned_faces_baseline	166.891	165.879
167.696	2.507	recently_learned_faces_correct_combination	1	left	1.121	recently_learned_faces	170.178	168.817
171.273	2.524	recently_learned_faces_correct_combination	1	left	1.557	recently_learned_faces	173.767	172.83
174.867	2.508	recently_learned_faces_correct_combination	1	left	1.323	recently_learned_faces	177.356	176.19
178.311	2.507	famous_faces_false_combination	0	NA	NA	famous_faces	180.794	NA
181.688	2.524	recently_learned_faces_baseline	1	left	1.342	recently_learned_faces_baseline	184.181	183.03
185.131	2.508	famous_faces_false_combination	1	right	2.278	famous_faces	187.619	187.409
188.826	2.507	famous_faces_false_combination	1	right	1.878	famous_faces	191.308	190.704
192.152	2.508	famous_faces_baseline	1	right	1.855	famous_faces_baseline	194.645	194.007
197.953	2.507	recently_learned_faces_false_combination	1	right	1.379	recently_learned_faces	200.437	199.332
201.279	2.525	famous_faces_false_combination	1	right	1.553	famous_faces	203.774	202.832
204.823	2.508	recently_learned_faces_correct_combination	1	left	1.59	recently_learned_faces	207.313	206.413
208.217	2.507	famous_faces_false_combination	1	right	1.865	famous_faces	210.701	210.082
211.861	2.508	famous_faces_baseline	1	left	1.917	famous_faces_baseline	214.34	213.778
215.238	2.507	recently_learned_faces_false_combination	1	right	2.322	recently_learned_faces	217.727	217.56
218.782	2.507	recently_learned_faces_false_combination	1	right	1.643	recently_learned_faces	221.266	220.425
222.376	2.507	famous_faces_correct_combination	0	right	2.05	famous_faces	224.855	224.426
225.652	2.508	recently_learned_faces_baseline	1	right	1.802	recently_learned_faces_baseline	228.142	227.454
229.297	2.507	famous_faces_baseline	1	right	1.126	famous_faces_baseline	231.781	230.423
232.74	2.508	recently_learned_faces_baseline	1	left	1.488	recently_learned_faces_baseline	235.219	234.228
236.117	2.507	recently_learned_faces_baseline	1	right	1.583	recently_learned_faces_baseline	238.607	237.7
239.661	2.507	recently_learned_faces_false_combination	1	right	1.486	recently_learned_faces	242.145	241.147
245.244	2.508	recently_learned_faces_baseline	1	right	1.481	recently_learned_faces_baseline	247.735	246.725
248.888	2.508	famous_faces_correct_combination	1	left	1.524	famous_faces	251.374	250.412
252.282	2.507	famous_faces_correct_combination	0	right	1.959	famous_faces	254.761	254.241
255.809	2.508	famous_faces_baseline	1	right	1.389	famous_faces_baseline	258.3	257.198
259.403	2.508	recently_learned_faces_correct_combination	1	left	2.14	recently_learned_faces	261.889	261.543
262.696	2.508	recently_learned_faces_correct_combination	1	left	2.331	recently_learned_faces	265.176	265.027
266.274	2.507	famous_faces_correct_combination	1	left	1.241	famous_faces	268.765	267.515
269.868	2.507	famous_faces_false_combination	1	right	1.835	famous_faces	272.354	271.703
273.311	2.508	famous_faces_correct_combination	1	left	1.439	famous_faces	275.792	274.75
276.688	2.508	famous_faces_baseline	1	left	1.272	famous_faces_baseline	279.179	277.96
280.132	2.507	recently_learned_faces_correct_combination	1	left	1.202	recently_learned_faces	282.617	281.334
283.826	2.508	famous_faces_false_combination	1	right	1.252	famous_faces	286.306	285.078
287.153	2.507	recently_learned_faces_correct_combination	0	right	1.345	recently_learned_faces	289.643	288.498
292.903	2.508	recently_learned_faces_correct_combination	1	left	1.588	recently_learned_faces	295.385	294.491
296.33	2.508	famous_faces_false_combination	1	right	1.532	famous_faces	298.823	297.862
299.774	2.507	famous_faces_false_combination	1	right	1.415	famous_faces	302.261	301.189
303.218	2.507	recently_learned_faces_baseline	1	right	1.499	recently_learned_faces_baseline	305.699	304.717
306.895	2.508	famous_faces_correct_combination	1	left	1.026	famous_faces	309.388	307.921
