"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
7.94600000000003	"recently_learned_faces_baseline"	1	"right"	2.036	2.524	"recently_learned_faces_baseline"	10.44	9.98200000000003
11.29	"recently_learned_faces_baseline"	1	"right"	1.568	2.507	"recently_learned_faces_baseline"	13.777	12.858
14.833	"famous_faces_baseline"	0	"right"	0.72	2.508	"famous_faces_baseline"	17.316	15.553
18.21	"famous_faces_baseline"	1	"right"	2.214	2.524	"famous_faces_baseline"	20.704	20.424
21.854	"famous_faces_false_combination"	1	"right"	1.806	2.508	"famous_faces"	24.343	23.66
25.248	"famous_faces_correct_combination"	0	"right"	1.376	2.507	"famous_faces"	27.73	26.624
28.675	"recently_learned_faces_false_combination"	1	"right"	1.144	2.524	"recently_learned_faces"	31.168	29.819
32.319	"recently_learned_faces_false_combination"	1	"right"	1.606	2.507	"recently_learned_faces"	34.807	33.925
35.762	"famous_faces_false_combination"	1	"right"	1.129	2.508	"famous_faces"	38.245	36.891
39.34	"famous_faces_baseline"	1	"left"	1.465	2.524	"famous_faces_baseline"	41.834	40.805
42.683	"recently_learned_faces_baseline"	1	"left"	1.366	2.507	"recently_learned_faces_baseline"	45.171	44.049
46.327	"famous_faces_false_combination"	1	"right"	1.71	2.508	"famous_faces"	48.81	48.037
49.604	"famous_faces_baseline"	0	"left"	1.968	2.524	"famous_faces_baseline"	52.097	51.572
55.454	"famous_faces_baseline"	1	"right"	2.396	2.508	"famous_faces_baseline"	57.939	57.85
58.798	"recently_learned_faces_correct_combination"	0	"right"	1.373	2.507	"recently_learned_faces"	61.276	60.171
62.325	"recently_learned_faces_false_combination"	0	"left"	2.026	2.507	"recently_learned_faces"	64.815	64.351
65.718	"famous_faces_correct_combination"	1	"left"	1.661	2.508	"famous_faces"	68.203	67.379
69.362	"famous_faces_false_combination"	1	"right"	1.194	2.508	"famous_faces"	71.842	70.556
72.739	"recently_learned_faces_false_combination"	0	"left"	1.708	2.508	"recently_learned_faces"	75.229	74.447
76.283	"famous_faces_false_combination"	1	"right"	1.948	2.508	"famous_faces"	78.768	78.231
79.676	"recently_learned_faces_false_combination"	1	"right"	1.684	2.508	"recently_learned_faces"	82.156	81.36
83.304	"recently_learned_faces_false_combination"	0	"left"	1.39	2.507	"recently_learned_faces"	85.795	84.694
86.848	"famous_faces_baseline"	1	"right"	1.492	2.507	"famous_faces_baseline"	89.333	88.34
90.141	"famous_faces_baseline"	1	"right"	1.457	2.507	"famous_faces_baseline"	92.62	91.598
93.819	"famous_faces_false_combination"	1	"right"	1.678	2.507	"famous_faces"	96.309	95.497
97.162	"recently_learned_faces_false_combination"	0	"left"	1.543	2.507	"recently_learned_faces"	99.646	98.705
102.896	"recently_learned_faces_correct_combination"	1	"left"	2.014	2.524	"recently_learned_faces"	105.388	104.91
106.289	"famous_faces_correct_combination"	0	"right"	1.918	2.508	"famous_faces"	108.775	108.207
109.733	"recently_learned_faces_correct_combination"	1	"left"	2.416	2.507	"recently_learned_faces"	112.213	112.149
113.41	"recently_learned_faces_false_combination"	1	"right"	2.131	2.508	"recently_learned_faces"	115.902	115.541
116.804	"recently_learned_faces_correct_combination"	1	"left"	1.204	2.507	"recently_learned_faces"	119.29	118.008
120.398	"famous_faces_correct_combination"	1	"left"	2.466	2.507	"famous_faces"	122.879	122.864
123.724	"famous_faces_correct_combination"	0	"right"	1.258	2.508	"famous_faces"	126.216	124.982
127.168	"recently_learned_faces_correct_combination"	1	"left"	1.012	2.507	"recently_learned_faces"	129.654	128.18
130.762	"famous_faces_baseline"	0	"right"	0.86	2.507	"famous_faces_baseline"	133.243	131.622
134.289	"recently_learned_faces_baseline"	1	"right"	1.833	2.524	"recently_learned_faces_baseline"	136.782	136.122
137.683	"famous_faces_baseline"	0	"right"	1.395	2.507	"famous_faces_baseline"	140.169	139.078
