"onset"	"trial_type"
39.245	"famous_faces_baseline"
55.46	"famous_faces_baseline"
90.28	"famous_faces_baseline"
130.751	"famous_faces_baseline"
137.638	"famous_faces_baseline"
150.242	"famous_faces_baseline"
157.43	"famous_faces_baseline"
211.892	"famous_faces_baseline"
229.344	"famous_faces_baseline"
255.706	"famous_faces_baseline"
426.164	"famous_faces_baseline"
429.758	"famous_faces_baseline"
459.764	"famous_faces_baseline"
466.785	"famous_faces_baseline"
482.883	"famous_faces_baseline"
496.741	"famous_faces_baseline"
510.699	"famous_faces_baseline"
517.82	"famous_faces_baseline"
609.175	"famous_faces_baseline"
612.619	"famous_faces_baseline"
663.755	"famous_faces_baseline"
690.217	"famous_faces_baseline"
693.811	"famous_faces_baseline"
711.296	"famous_faces_baseline"
65.774	"famous_faces_correct_combination"
106.295	"famous_faces_correct_combination"
123.88	"famous_faces_correct_combination"
141.315	"famous_faces_correct_combination"
153.886	"famous_faces_correct_combination"
222.156	"famous_faces_correct_combination"
248.936	"famous_faces_correct_combination"
252.329	"famous_faces_correct_combination"
266.171	"famous_faces_correct_combination"
273.258	"famous_faces_correct_combination"
306.792	"famous_faces_correct_combination"
313.879	"famous_faces_correct_combination"
334.808	"famous_faces_correct_combination"
371.785	"famous_faces_correct_combination"
394.871	"famous_faces_correct_combination"
412.155	"famous_faces_correct_combination"
422.72	"famous_faces_correct_combination"
463.141	"famous_faces_correct_combination"
530.441	"famous_faces_correct_combination"
544.232	"famous_faces_correct_combination"
547.776	"famous_faces_correct_combination"
588.246	"famous_faces_correct_combination"
595.184	"famous_faces_correct_combination"
619.64	"famous_faces_correct_combination"
625.34	"famous_faces_correct_combination"
632.411	"famous_faces_correct_combination"
730.788	"famous_faces_correct_combination"
785.367	"famous_faces_correct_combination"
269.815	"famous_faces_false_combination"
473.705	"famous_faces_false_combination"
558.14	"famous_faces_false_combination"
565.261	"famous_faces_false_combination"
628.767	"famous_faces_false_combination"
635.704	"famous_faces_false_combination"
646.369	"famous_faces_false_combination"
42.638	"recently_learned_faces_baseline"
134.295	"recently_learned_faces_baseline"
164.25	"recently_learned_faces_baseline"
181.836	"recently_learned_faces_baseline"
225.75	"recently_learned_faces_baseline"
232.621	"recently_learned_faces_baseline"
236.165	"recently_learned_faces_baseline"
245.793	"recently_learned_faces_baseline"
303.365	"recently_learned_faces_baseline"
310.235	"recently_learned_faces_baseline"
331.164	"recently_learned_faces_baseline"
361.17	"recently_learned_faces_baseline"
378.656	"recently_learned_faces_baseline"
387.733	"recently_learned_faces_baseline"
398.297	"recently_learned_faces_baseline"
435.241	"recently_learned_faces_baseline"
445.755	"recently_learned_faces_baseline"
456.37	"recently_learned_faces_baseline"
477.099	"recently_learned_faces_baseline"
489.92	"recently_learned_faces_baseline"
507.155	"recently_learned_faces_baseline"
537.311	"recently_learned_faces_baseline"
577.882	"recently_learned_faces_baseline"
591.891	"recently_learned_faces_baseline"
616.263	"recently_learned_faces_baseline"
714.639	"recently_learned_faces_baseline"
751.834	"recently_learned_faces_baseline"
767.931	"recently_learned_faces_baseline"
116.809	"recently_learned_faces_correct_combination"
127.173	"recently_learned_faces_correct_combination"
144.709	"recently_learned_faces_correct_combination"
160.807	"recently_learned_faces_correct_combination"
167.694	"recently_learned_faces_correct_combination"
171.322	"recently_learned_faces_correct_combination"
174.765	"recently_learned_faces_correct_combination"
204.721	"recently_learned_faces_correct_combination"
262.894	"recently_learned_faces_correct_combination"
292.95	"recently_learned_faces_correct_combination"
317.156	"recently_learned_faces_correct_combination"
350.806	"recently_learned_faces_correct_combination"
493.297	"recently_learned_faces_correct_combination"
649.746	"recently_learned_faces_correct_combination"
672.731	"recently_learned_faces_correct_combination"
679.752	"recently_learned_faces_correct_combination"
72.745	"recently_learned_faces_false_combination"
83.309	"recently_learned_faces_false_combination"
113.416	"recently_learned_faces_false_combination"
197.851	"recently_learned_faces_false_combination"
218.83	"recently_learned_faces_false_combination"
239.809	"recently_learned_faces_false_combination"
324.244	"recently_learned_faces_false_combination"
364.764	"recently_learned_faces_false_combination"
382.2	"recently_learned_faces_false_combination"
533.868	"recently_learned_faces_false_combination"
584.82	"recently_learned_faces_false_combination"
639.332	"recently_learned_faces_false_combination"
700.832	"recently_learned_faces_false_combination"
727.26	"recently_learned_faces_false_combination"
748.139	"recently_learned_faces_false_combination"
758.804	"recently_learned_faces_false_combination"
