onset	duration	trial_type	button	response_time	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
10.6440000000002	0.017	Contingent	NA	NA	10.645	NA
11.4470000000001	2.808	Contingent	NA	NA	14.2310000000002	NA
14.8400000000001	2.792	Contingent	left	2.625	17.6210000000001	17.4650000000001
18.2170000000001	2.808	Contingent	right	2.676	21.011	20.8930000000001
21.8610000000003	2.808	Contingent	left	2.39	24.652	24.2510000000003
25.2040000000002	2.809	NonContingent	NA	NA	27.991	NA
28.8490000000002	2.808	Contingent	NA	NA	31.6320000000001	NA
32.2919999999999	2.792	Contingent	NA	NA	35.0720000000001	NA
35.7190000000001	2.808	Contingent	right	1.086	38.5120000000002	36.805
39.3630000000003	2.809	NonContingent	right	2.3	42.1530000000002	41.6630000000003
42.8070000000002	2.808	Contingent	NA	NA	45.5930000000003	NA
46.25	2.809	NonContingent	NA	NA	49.0329999999999	NA
49.6440000000002	2.792	NonContingent	NA	NA	52.4230000000002	NA
55.3440000000001	2.809	NonContingent	NA	NA	58.1390000000001	NA
58.788	2.808	Contingent	NA	NA	61.5790000000002	NA
62.4320000000002	2.808	NonContingent	right	2.106	65.2200000000003	64.5380000000002
65.8760000000002	2.808	NonContingent	NA	NA	68.6600000000003	NA
69.2190000000001	2.792	Contingent	right	1.645	71.9990000000003	70.864
72.7460000000001	2.809	Contingent	NA	NA	75.5390000000002	NA
76.3400000000001	2.809	Contingent	left	1.627	79.1300000000001	77.9670000000001
79.884	2.808	NonContingent	left	2.127	82.6700000000001	82.011
83.1770000000001	2.809	Contingent	NA	NA	85.9590000000003	NA
86.7550000000001	2.808	NonContingent	NA	NA	89.5500000000002	NA
90.1980000000003	2.809	Contingent	left	2.549	92.9900000000002	92.7470000000003
93.7420000000002	2.808	Contingent	NA	NA	96.5309999999999	NA
97.3360000000002	2.808	Contingent	NA	NA	100.122	NA
102.903	2.808	Contingent	NA	NA	105.688	NA
106.246	2.792	Contingent	left	1.544	109.027	107.79
109.823	2.809	NonContingent	left	2.258	112.618	112.081
113.267	2.808	NonContingent	left	2.506	116.058	115.773
116.911	2.809	NonContingent	left	1.514	119.699	118.425
120.355	2.808	NonContingent	NA	NA	123.139	NA
123.899	2.791	Contingent	left	2.57	126.679	126.469
127.175	2.808	Contingent	NA	NA	129.968	NA
130.769	2.808	Contingent	left	0.84	133.559	131.609
134.213	2.808	NonContingent	left	2.619	136.999	136.832
137.857	2.808	Contingent	NA	NA	140.64	NA
