"onset"	"trial_type"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
8.85100000000001	"Contingent"	NA	NA	1.756	10.59	NA
11.342	"Contingent"	"left"	2.631	2.809	14.131	13.973
14.736	"Contingent"	NA	NA	2.808	17.521	NA
18.43	"Contingent"	"left"	2.142	2.808	21.212	20.572
21.857	"Contingent"	"left"	1.72	2.808	24.652	23.577
25.25	"NonContingent"	"left"	0.969	2.809	28.041	26.219
28.844	"Contingent"	"left"	2.232	2.809	31.632	31.076
32.188	"Contingent"	"left"	1.499	2.808	34.971	33.687
35.782	"Contingent"	"left"	0.8	2.791	38.562	36.582
39.359	"NonContingent"	"left"	0.924	2.809	42.153	40.283
42.753	"Contingent"	"left"	1.345	2.808	45.543	44.098
46.146	"NonContingent"	"left"	1.009	2.808	48.933	47.155
49.79	"NonContingent"	"left"	0.993	2.809	52.574	50.783
55.407	"NonContingent"	"left"	2.113	2.808	58.19	57.52
58.851	"Contingent"	"left"	1.057	2.791	61.63	59.908
62.278	"NonContingent"	"right"	1.831	2.808	65.07	64.109
65.721	"NonContingent"	"right"	1.574	2.809	68.51	67.295
69.416	"Contingent"	"left"	1.561	2.808	72.201	70.977
72.709	"Contingent"	"left"	1.726	2.791	75.49	74.435
76.336	"Contingent"	"left"	1.564	2.809	79.131	77.9
79.88	"NonContingent"	"right"	2.252	2.809	82.671	82.132
83.274	"Contingent"	"left"	2.538	2.808	86.061	85.812
86.717	"NonContingent"	"right"	1.509	2.809	89.501	88.226
90.161	"Contingent"	"right"	2.152	2.792	92.941	92.313
93.839	"Contingent"	"left"	1.415	2.808	96.632	95.254
97.232	"Contingent"	"left"	1.376	2.808	100.022	98.608
102.899	"Contingent"	"left"	1.311	2.808	105.689	104.21
106.292	"Contingent"	"left"	1.494	2.809	109.078	107.786
109.937	"NonContingent"	"right"	2.146	2.808	112.719	112.083
113.213	"NonContingent"	"right"	1.925	2.808	116.008	115.138
116.807	"NonContingent"	"right"	1.665	2.809	119.599	118.472
120.201	"NonContingent"	"left"	0.967	2.808	122.989	121.168
123.845	"Contingent"	"left"	1.871	2.808	126.63	125.716
127.389	"Contingent"	"left"	1.34	2.791	130.17	128.729
130.766	"Contingent"	"left"	1.647	2.808	133.56	132.413
134.209	"NonContingent"	"right"	1.334	2.809	137	135.543
137.653	"Contingent"	"right"	2.139	2.808	140.44	139.792
141.247	"Contingent"	"right"	2.381	2.808	144.031	143.628
144.841	"NonContingent"	"left"	1.692	2.792	147.622	146.533
150.458	"Contingent"	"right"	2.353	2.791	153.238	152.811
153.834	"NonContingent"	"left"	2.342	2.809	156.628	156.176
157.278	"Contingent"	"left"	1.317	2.808	160.068	158.595
160.872	"NonContingent"	"right"	2.052	2.808	163.659	162.924
164.215	"NonContingent"	"left"	1.72	2.809	166.998	165.935
167.743	"NonContingent"	"right"	1.197	2.808	170.538	168.94
171.337	"NonContingent"	"right"	1.758	2.808	174.129	173.095
174.881	"NonContingent"	"right"	2.46	2.808	177.669	177.341
178.174	"Contingent"	"left"	1.091	2.808	180.958	179.265
181.768	"NonContingent"	"right"	1.824	2.791	184.549	183.592
185.345	"Contingent"	"left"	1.348	2.809	188.14	186.693
188.689	"Contingent"	"right"	2.02	2.808	191.479	190.709
192.132	"NonContingent"	"left"	1.028	2.808	194.919	193.16
197.899	"Contingent"	"left"	2.378	2.809	200.687	200.277
201.293	"NonContingent"	"right"	2.266	2.808	204.076	203.559
204.837	"NonContingent"	"left"	0.95	2.791	207.617	205.787
208.414	"NonContingent"	"left"	0.659	2.808	211.208	209.073
211.707	"NonContingent"	"right"	1.372	2.809	214.497	213.079
215.301	"NonContingent"	"left"	2.007	2.809	218.088	217.308
218.895	"NonContingent"	"right"	2.167	2.809	221.679	221.062
222.189	"NonContingent"	"right"	1.556	2.791	224.968	223.745
225.816	"NonContingent"	"right"	2.176	2.808	228.609	227.992
229.21	"Contingent"	"right"	1.558	2.808	231.998	230.768
232.804	"Contingent"	"left"	0.9	2.808	235.589	233.704
236.147	"Contingent"	"left"	1.386	2.792	238.928	237.533
239.724	"Contingent"	"left"	2.316	2.809	242.519	242.04
245.341	"NonContingent"	"right"	1.144	2.808	248.136	246.485
248.935	"NonContingent"	"left"	2.363	2.808	251.727	251.298
