"onset"	"trial_type"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
2.961	"Contingent"	"left"	1.714	2.809	5.741	4.675
6.238	"Contingent"	"right"	1.436	2.808	9.03	7.674
9.882	"Contingent"	"right"	1.619	2.808	12.671	11.501
13.325	"Contingent"	"right"	1.227	2.809	16.111	14.552
16.769	"Contingent"	"left"	1	2.808	19.551	17.769
20.196	"NonContingent"	"right"	1.153	2.808	22.991	21.349
23.89	"Contingent"	"left"	1.139	2.809	26.682	25.029
27.234	"Contingent"	"left"	1.534	2.808	30.021	28.768
30.828	"Contingent"	"left"	1.337	2.808	33.612	32.165
34.271	"NonContingent"	"left"	1.146	2.792	37.052	35.417
37.648	"Contingent"	"left"	1.167	2.808	40.442	38.815
41.242	"NonContingent"	"right"	1.45	2.808	44.033	42.692
44.836	"NonContingent"	"right"	1.504	2.808	47.624	46.34
50.252	"NonContingent"	"right"	1.198	2.809	53.039	51.45
53.846	"Contingent"	"right"	1.58	2.809	56.63	55.426
57.39	"NonContingent"	"right"	1.108	2.792	60.171	58.498
60.767	"NonContingent"	"left"	1.629	2.808	63.56	62.396
64.411	"Contingent"	"right"	1.662	2.808	67.201	66.073
67.805	"Contingent"	"left"	0.926	2.808	70.591	68.731
71.399	"Contingent"	"right"	1.072	2.808	74.182	72.471
74.692	"NonContingent"	"right"	1.457	2.791	77.471	76.149
78.219	"Contingent"	"left"	1.019	2.808	81.011	79.238
81.813	"NonContingent"	"right"	1.06	2.808	84.602	82.873
85.257	"Contingent"	"left"	0.91	2.808	88.042	86.167
88.801	"Contingent"	"left"	0.917	2.808	91.583	89.718
92.177	"Contingent"	"right"	1.172	2.809	94.972	93.349
97.744	"Contingent"	"right"	1.307	2.808	100.538	99.051
101.288	"Contingent"	"right"	2.029	2.808	104.078	103.317
104.832	"NonContingent"	"left"	1.273	2.808	107.619	106.105
108.426	"NonContingent"	"left"	2.174	2.808	111.21	110.6
111.869	"NonContingent"	"right"	1.25	2.792	114.65	113.119
115.196	"NonContingent"	"right"	1.548	2.808	117.989	116.744
118.89	"Contingent"	"left"	1.082	2.809	121.68	119.972
122.284	"Contingent"	"right"	1.035	2.808	125.07	123.319
125.727	"Contingent"	"right"	1.119	2.809	128.51	126.846
129.321	"NonContingent"	"right"	1.175	2.792	132.101	130.496
132.748	"Contingent"	"left"	1.087	2.809	135.541	133.835
136.292	"Contingent"	"left"	1.127	2.808	139.082	137.419
139.686	"NonContingent"	"left"	1.603	2.808	142.471	141.289
145.302	"Contingent"	"right"	1.174	2.809	148.087	146.476
148.846	"NonContingent"	"right"	1.044	2.809	151.628	149.89
152.373	"Contingent"	"left"	0.931	2.809	155.169	153.304
155.717	"NonContingent"	"right"	1.232	2.808	158.508	156.949
159.411	"NonContingent"	"left"	1.204	2.808	162.199	160.615
162.855	"NonContingent"	"right"	1.166	2.808	165.639	164.021
166.398	"NonContingent"	"right"	2.285	2.792	169.179	168.683
169.725	"NonContingent"	"right"	1.313	2.808	172.518	171.038
173.269	"Contingent"	"left"	0.938	2.808	176.059	174.207
176.662	"NonContingent"	"right"	0.932	2.809	179.449	177.594
180.206	"Contingent"	"right"	0.871	2.809	182.989	181.077
183.8	"Contingent"	"left"	0.758	2.792	186.58	184.558
187.328	"NonContingent"	"left"	1.024	2.808	190.12	188.352
192.944	"Contingent"	"right"	1.143	2.809	195.736	194.087
196.288	"NonContingent"	"right"	0.926	2.808	199.075	197.214
199.731	"NonContingent"	"right"	1.065	2.809	202.515	200.796
203.325	"NonContingent"	"right"	1.095	2.792	206.106	204.42
206.852	"NonContingent"	"right"	1	2.809	209.647	207.852
210.246	"NonContingent"	"right"	1.156	2.808	213.036	211.402
213.69	"NonContingent"	"right"	1.059	2.808	216.476	214.749
217.284	"NonContingent"	"left"	1.249	2.808	220.067	218.533
220.827	"NonContingent"	"left"	1.658	2.809	223.608	222.485
224.355	"Contingent"	"left"	1.273	2.808	227.148	225.628
227.698	"Contingent"	"right"	0.885	2.808	230.487	228.583
231.292	"Contingent"	"left"	0.822	2.808	234.078	232.114
234.635	"Contingent"	"left"	0.959	2.809	237.417	235.594
240.402	"NonContingent"	"right"	1.089	2.809	243.185	241.491
243.729	"NonContingent"	"right"	1.105	2.808	246.524	244.834
247.423	"Contingent"	"right"	1.337	2.809	250.215	248.76
250.767	"NonContingent"	"right"	0.941	2.808	253.554	251.708
254.311	"NonContingent"	"left"	1.115	2.808	257.095	255.426
257.905	"Contingent"	"left"	0.923	2.791	260.686	258.828
261.332	"Contingent"	"left"	1.337	2.808	264.126	262.669
264.725	"NonContingent"	"left"	1.098	2.808	267.515	265.823
268.269	"Contingent"	"left"	0.77	2.808	271.056	269.039
271.662	"NonContingent"	"left"	1.589	2.809	274.446	273.251
275.256	"NonContingent"	"right"	1.457	2.792	278.037	276.713
278.683	"NonContingent"	"right"	1.213	2.809	281.477	279.896
282.127	"Contingent"	"left"	0.951	2.808	284.917	283.078
287.944	"NonContingent"	"right"	0.92	2.809	290.734	288.864
291.288	"NonContingent"	"right"	1.029	2.808	294.073	292.317
294.831	"NonContingent"	"left"	0.913	2.809	297.614	295.744
298.225	"Contingent"	"right"	1.014	2.792	301.004	299.239
301.852	"NonContingent"	"right"	1.464	2.809	304.645	303.316
