"onset"	"trial_type"
2.961	"Contingent"
6.238	"Contingent"
9.882	"Contingent"
13.325	"Contingent"
16.769	"Contingent"
23.89	"Contingent"
27.234	"Contingent"
30.828	"Contingent"
37.648	"Contingent"
53.846	"Contingent"
64.411	"Contingent"
67.805	"Contingent"
71.399	"Contingent"
78.219	"Contingent"
85.257	"Contingent"
88.801	"Contingent"
92.177	"Contingent"
97.744	"Contingent"
101.288	"Contingent"
118.89	"Contingent"
122.284	"Contingent"
125.727	"Contingent"
132.748	"Contingent"
136.292	"Contingent"
145.302	"Contingent"
152.373	"Contingent"
173.269	"Contingent"
180.206	"Contingent"
183.8	"Contingent"
192.944	"Contingent"
224.355	"Contingent"
227.698	"Contingent"
231.292	"Contingent"
234.635	"Contingent"
247.423	"Contingent"
257.905	"Contingent"
261.332	"Contingent"
268.269	"Contingent"
282.127	"Contingent"
298.225	"Contingent"
308.89	"Contingent"
315.71	"Contingent"
319.304	"Contingent"
322.648	"Contingent"
326.192	"Contingent"
338.879	"Contingent"
345.917	"Contingent"
349.26	"Contingent"
352.838	"Contingent"
356.181	"Contingent"
359.725	"Contingent"
363.369	"Contingent"
366.763	"Contingent"
377.327	"Contingent"
386.287	"Contingent"
393.308	"Contingent"
403.689	"Contingent"
410.861	"Contingent"
414.204	"Contingent"
430.285	"Contingent"
440.867	"Contingent"
447.787	"Contingent"
454.725	"Contingent"
472.227	"Contingent"
477.793	"Contingent"
481.237	"Contingent"
484.814	"Contingent"
502.266	"Contingent"
505.81	"Contingent"
509.204	"Contingent"
516.241	"Contingent"
519.769	"Contingent"
20.196	"NonContingent"
34.271	"NonContingent"
41.242	"NonContingent"
44.836	"NonContingent"
50.252	"NonContingent"
57.39	"NonContingent"
60.767	"NonContingent"
74.692	"NonContingent"
81.813	"NonContingent"
104.832	"NonContingent"
108.426	"NonContingent"
111.869	"NonContingent"
115.196	"NonContingent"
129.321	"NonContingent"
139.686	"NonContingent"
148.846	"NonContingent"
155.717	"NonContingent"
159.411	"NonContingent"
162.855	"NonContingent"
166.398	"NonContingent"
169.725	"NonContingent"
176.662	"NonContingent"
187.328	"NonContingent"
196.288	"NonContingent"
199.731	"NonContingent"
203.325	"NonContingent"
206.852	"NonContingent"
210.246	"NonContingent"
213.69	"NonContingent"
217.284	"NonContingent"
220.827	"NonContingent"
240.402	"NonContingent"
243.729	"NonContingent"
250.767	"NonContingent"
254.311	"NonContingent"
264.725	"NonContingent"
271.662	"NonContingent"
275.256	"NonContingent"
278.683	"NonContingent"
287.944	"NonContingent"
291.288	"NonContingent"
294.831	"NonContingent"
301.852	"NonContingent"
305.196	"NonContingent"
312.283	"NonContingent"
329.735	"NonContingent"
335.252	"NonContingent"
342.323	"NonContingent"
370.139	"NonContingent"
373.683	"NonContingent"
382.743	"NonContingent"
389.881	"NonContingent"
396.902	"NonContingent"
400.296	"NonContingent"
407.333	"NonContingent"
417.848	"NonContingent"
421.292	"NonContingent"
424.719	"NonContingent"
433.829	"NonContingent"
437.223	"NonContingent"
444.411	"NonContingent"
451.381	"NonContingent"
458.319	"NonContingent"
461.645	"NonContingent"
465.29	"NonContingent"
468.683	"NonContingent"
488.358	"NonContingent"
491.902	"NonContingent"
495.195	"NonContingent"
498.89	"NonContingent"
512.848	"NonContingent"
525.285	"NonContingent"
