"onset"	"trial_type"
6.39100000000001	"Contingent"
9.735	"Contingent"
13.329	"Contingent"
16.923	"Contingent"
23.894	"Contingent"
27.337	"Contingent"
30.731	"Contingent"
37.651	"Contingent"
53.9	"Contingent"
64.214	"Contingent"
67.808	"Contingent"
71.352	"Contingent"
78.223	"Contingent"
85.16	"Contingent"
88.838	"Contingent"
92.181	"Contingent"
97.747	"Contingent"
101.291	"Contingent"
118.844	"Contingent"
122.237	"Contingent"
125.764	"Contingent"
132.702	"Contingent"
136.346	"Contingent"
145.306	"Contingent"
152.327	"Contingent"
173.223	"Contingent"
180.311	"Contingent"
183.838	"Contingent"
192.948	"Contingent"
224.208	"Contingent"
227.752	"Contingent"
231.146	"Contingent"
234.79	"Contingent"
247.378	"Contingent"
257.842	"Contingent"
261.286	"Contingent"
268.173	"Contingent"
282.282	"Contingent"
298.263	"Contingent"
308.895	"Contingent"
315.715	"Contingent"
319.309	"Contingent"
322.853	"Contingent"
326.246	"Contingent"
338.934	"Contingent"
345.872	"Contingent"
349.299	"Contingent"
352.692	"Contingent"
356.236	"Contingent"
359.88	"Contingent"
363.274	"Contingent"
366.801	"Contingent"
377.282	"Contingent"
386.242	"Contingent"
393.363	"Contingent"
403.678	"Contingent"
410.765	"Contingent"
414.309	"Contingent"
430.24	"Contingent"
440.772	"Contingent"
447.843	"Contingent"
454.78	"Contingent"
472.232	"Contingent"
477.799	"Contingent"
481.226	"Contingent"
484.82	"Contingent"
502.222	"Contingent"
505.766	"Contingent"
509.36	"Contingent"
516.13	"Contingent"
519.724	"Contingent"
20.199	"NonContingent"
34.258	"NonContingent"
41.195	"NonContingent"
44.739	"NonContingent"
50.356	"NonContingent"
57.427	"NonContingent"
60.77	"NonContingent"
74.679	"NonContingent"
81.867	"NonContingent"
104.835	"NonContingent"
108.379	"NonContingent"
111.906	"NonContingent"
115.2	"NonContingent"
129.359	"NonContingent"
139.79	"NonContingent"
148.934	"NonContingent"
155.721	"NonContingent"
159.365	"NonContingent"
162.808	"NonContingent"
166.336	"NonContingent"
169.88	"NonContingent"
176.666	"NonContingent"
187.181	"NonContingent"
196.342	"NonContingent"
199.786	"NonContingent"
203.363	"NonContingent"
206.706	"NonContingent"
210.35	"NonContingent"
213.694	"NonContingent"
217.388	"NonContingent"
220.765	"NonContingent"
240.24	"NonContingent"
243.834	"NonContingent"
250.922	"NonContingent"
254.265	"NonContingent"
264.88	"NonContingent"
271.717	"NonContingent"
275.344	"NonContingent"
278.638	"NonContingent"
287.748	"NonContingent"
291.342	"NonContingent"
294.886	"NonContingent"
301.907	"NonContingent"
305.301	"NonContingent"
312.171	"NonContingent"
329.774	"NonContingent"
335.24	"NonContingent"
342.278	"NonContingent"
370.144	"NonContingent"
373.688	"NonContingent"
382.949	"NonContingent"
389.82	"NonContingent"
396.757	"NonContingent"
400.401	"NonContingent"
407.222	"NonContingent"
417.653	"NonContingent"
421.33	"NonContingent"
424.674	"NonContingent"
433.834	"NonContingent"
437.378	"NonContingent"
444.399	"NonContingent"
451.186	"NonContingent"
458.374	"NonContingent"
461.701	"NonContingent"
465.144	"NonContingent"
468.688	"NonContingent"
488.414	"NonContingent"
491.858	"NonContingent"
495.201	"NonContingent"
498.828	"NonContingent"
512.803	"NonContingent"
525.291	"NonContingent"
