"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.9	"Visual_Lure"	1	"left"	1.074	1.789	12.689	11.974
13.424	"Visual_Different"	1	"left"	0.82	1.789	15.213	14.244
15.714	"Visual_Same"	0	NA	NA	1.789	17.503	NA
18.305	"Visual_Different"	1	"left"	0.875	1.789	20.094	19.18
20.746	"Visual_Different"	1	"left"	1.17	1.789	22.535	21.916
23.287	"Visual_Same"	1	"right"	1.313	1.789	25.076	24.6
25.661	"Visual_Same"	1	"right"	0.594	1.788	27.449	26.255
33.35	"Auditory_Same"	1	"right"	1.573	1.789	35.139	34.923
35.925	"Auditory_Lure"	0	"right"	1.423	1.788	37.713	37.348
38.215	"Auditory_Same"	1	"right"	1.033	1.789	40.004	39.248
40.756	"Auditory_Different"	1	"left"	0.837	1.789	42.545	41.593
43.347	"Auditory_Different"	1	"left"	0.882	1.789	45.136	44.229
45.888	"Auditory_Lure"	0	"right"	0.922	1.789	47.677	46.81
53.293	"Visual_Lure"	1	"left"	0.755	1.789	55.082	54.048
55.884	"Visual_Lure"	1	"left"	0.978	1.789	57.673	56.862
58.425	"Visual_Same"	1	"right"	0.738	1.789	60.214	59.163
60.749	"Visual_Different"	1	"left"	1.045	1.789	62.538	61.794
63.39	"Visual_Different"	1	"left"	1.084	1.789	65.179	64.474
65.68	"Visual_Lure"	0	"right"	0.954	1.789	67.469	66.634
73.286	"Auditory_Lure"	1	"left"	1.533	1.789	75.075	74.819
75.877	"Auditory_Lure"	1	"left"	0.994	1.789	77.666	76.871
78.318	"Auditory_Different"	1	"left"	0.999	1.789	80.107	79.317
80.709	"Auditory_Same"	1	"right"	0.837	1.788	82.497	81.546
83.383	"Auditory_Lure"	1	"left"	0.901	1.789	85.172	84.284
90.839	"Visual_Same"	1	"right"	0.986	1.789	92.628	91.825
93.38	"Visual_Lure"	1	"left"	0.723	1.789	95.169	94.103
95.921	"Visual_Different"	1	"left"	0.651	1.788	97.709	96.572
98.361	"Visual_Lure"	1	"left"	1.266	1.789	100.15	99.627
100.785	"Visual_Lure"	1	"left"	0.733	1.789	102.574	101.518
103.176	"Visual_Different"	1	"left"	0.662	1.788	104.964	103.838
105.717	"Visual_Different"	1	"left"	0.624	1.788	107.505	106.341
113.339	"Auditory_Lure"	1	"left"	1.621	1.789	115.128	114.96
115.88	"Auditory_Lure"	1	"left"	1.118	1.789	117.669	116.998
118.271	"Auditory_Same"	1	"right"	0.988	1.789	120.06	119.259
120.695	"Auditory_Different"	1	"left"	0.814	1.788	122.483	121.509
123.236	"Auditory_Different"	1	"left"	1.102	1.788	125.024	124.338
125.676	"Auditory_Lure"	1	"left"	1.021	1.789	127.465	126.697
133.45	"Visual_Lure"	1	"left"	0.708	1.772	135.222	134.158
135.873	"Visual_Different"	1	"left"	0.732	1.789	137.662	136.605
138.214	"Visual_Lure"	0	"right"	1.101	1.788	140.002	139.315
140.755	"Visual_Same"	1	"right"	0.78	1.788	142.543	141.535
143.296	"Visual_Same"	1	"right"	0.804	1.788	145.084	144.1
145.82	"Visual_Different"	1	"left"	0.713	1.789	147.609	146.533
153.443	"Auditory_Same"	1	"right"	0.979	1.788	155.231	154.422
155.883	"Auditory_Same"	1	"right"	0.891	1.789	157.672	156.774
158.324	"Auditory_Lure"	1	"left"	1.08	1.772	160.096	159.404
160.898	"Auditory_Different"	0	NA	NA	1.789	162.687	NA
163.239	"Auditory_Same"	1	"right"	0.986	1.788	165.027	164.225
170.744	"Visual_Different"	1	"left"	0.63	1.789	172.533	171.374
173.269	"Visual_Different"	1	"left"	0.651	1.788	175.057	173.92
175.809	"Visual_Lure"	1	"left"	0.874	1.789	177.598	176.683
178.401	"Visual_Same"	1	"right"	0.606	1.788	180.189	179.007
180.791	"Visual_Same"	1	"right"	0.581	1.789	182.58	181.372
183.332	"Visual_Different"	1	"left"	0.752	1.789	185.121	184.084
190.888	"Auditory_Different"	1	"left"	0.891	1.789	192.677	191.779
193.228	"Auditory_Lure"	0	"right"	0.916	1.789	195.017	194.144
195.819	"Auditory_Different"	1	"left"	1.037	1.789	197.608	196.856
198.36	"Auditory_Same"	1	"right"	1.125	1.789	200.149	199.485
200.684	"Auditory_Same"	1	"right"	0.797	1.788	202.472	201.481
203.375	"Auditory_Lure"	1	"left"	0.898	1.789	205.164	204.273
205.766	"Auditory_Lure"	1	"left"	1.009	1.788	207.554	206.775
213.439	"Visual_Different"	0	"right"	0.662	1.788	215.227	214.101
215.779	"Visual_Different"	1	"left"	0.731	1.789	217.568	216.51
