"onset"	"trial_type"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
4.76	"Contingent"	NA	NA	0.852	5.59	NA
6.398	"Contingent"	"right"	2.281	2.808	9.181	8.679
9.724	"Contingent"	"left"	0.979	2.809	12.52	10.703
13.419	"Contingent"	"right"	1.241	2.808	16.211	14.66
16.812	"Contingent"	"right"	1.357	2.809	19.601	18.169
20.406	"NonContingent"	"left"	0.818	2.809	23.192	21.224
23.8	"Contingent"	"left"	1.571	2.808	26.582	25.371
27.344	"Contingent"	"left"	1.345	2.791	30.123	28.689
30.67	"Contingent"	"left"	0.763	2.809	33.462	31.433
34.214	"NonContingent"	"left"	1.131	2.809	37.002	35.345
37.808	"Contingent"	"left"	1.386	2.809	40.593	39.194
41.202	"NonContingent"	"left"	1.046	2.791	43.982	42.248
44.729	"NonContingent"	"right"	1.811	2.808	47.523	46.54
50.346	"NonContingent"	"right"	1.195	2.808	53.14	51.541
53.789	"Contingent"	"left"	0.828	2.809	56.58	54.617
57.383	"NonContingent"	"right"	1.426	2.809	60.171	58.809
60.927	"NonContingent"	"right"	1.677	2.809	63.711	62.604
64.221	"Contingent"	"right"	0.916	2.791	67	65.137
67.848	"Contingent"	"left"	1.104	2.808	70.641	68.952
71.191	"Contingent"	"left"	0.76	2.809	73.98	71.951
74.785	"NonContingent"	"left"	0.952	2.809	77.571	75.737
78.379	"Contingent"	"right"	1.711	2.809	81.162	80.09
81.706	"NonContingent"	"right"	1.428	2.808	84.501	83.134
85.15	"Contingent"	"left"	1.461	2.808	87.941	86.611
88.794	"Contingent"	"left"	0.903	2.808	91.582	89.697
92.338	"Contingent"	"right"	1.168	2.808	95.122	93.506
97.904	"Contingent"	"left"	1.551	2.809	100.689	99.455
101.448	"Contingent"	"left"	0.812	2.792	104.229	102.26
104.775	"NonContingent"	"right"	1.165	2.808	107.568	105.94
108.219	"NonContingent"	"right"	1.69	2.808	111.008	109.909
111.813	"NonContingent"	"left"	1.092	2.808	114.599	112.905
115.357	"NonContingent"	"left"	1.372	2.808	118.14	116.729
118.733	"Contingent"	"left"	0.829	2.809	121.529	119.562
122.277	"Contingent"	"right"	1.344	2.809	125.07	123.621
125.671	"Contingent"	"left"	0.724	2.808	128.46	126.395
129.365	"NonContingent"	"right"	1.394	2.808	132.151	130.759
132.658	"Contingent"	"right"	1.182	2.809	135.44	133.84
136.185	"Contingent"	"right"	1.244	2.809	138.98	137.429
139.779	"NonContingent"	"right"	1.021	2.809	142.571	140.8
145.396	"Contingent"	"left"	0.718	2.809	148.188	146.114
148.74	"NonContingent"	"right"	1.845	2.808	151.527	150.585
152.283	"Contingent"	"left"	1.091	2.809	155.067	153.374
155.827	"NonContingent"	"left"	1.097	2.792	158.608	156.924
159.405	"NonContingent"	"right"	1.031	2.808	162.199	160.436
162.748	"NonContingent"	"right"	0.928	2.808	165.538	163.676
166.392	"NonContingent"	"right"	1.353	2.809	169.179	167.745
169.685	"NonContingent"	"right"	1.596	2.809	172.468	171.281
173.28	"Contingent"	"left"	0.799	2.791	176.059	174.079
176.807	"NonContingent"	"right"	1.362	2.808	179.6	178.169
180.351	"Contingent"	"left"	0.769	2.808	183.14	181.12
183.794	"Contingent"	"right"	1.015	2.809	186.58	184.809
187.188	"NonContingent"	"right"	1.004	2.791	189.969	188.192
192.955	"Contingent"	"right"	0.862	2.808	195.737	193.817
196.282	"NonContingent"	"right"	0.944	2.808	199.076	197.226
199.825	"NonContingent"	"right"	0.855	2.809	202.617	200.68
203.219	"NonContingent"	"right"	1.039	2.808	206.007	204.258
206.863	"NonContingent"	"right"	0.892	2.809	209.648	207.755
210.407	"NonContingent"	"right"	0.792	2.808	213.188	211.199
213.684	"NonContingent"	"right"	0.975	2.808	216.477	214.659
217.328	"NonContingent"	"right"	0.95	2.808	220.118	218.278
220.721	"NonContingent"	"left"	1.387	2.809	223.507	222.108
224.265	"Contingent"	"right"	1.848	2.808	227.048	226.113
227.659	"Contingent"	"left"	0.751	2.791	230.438	228.41
231.286	"Contingent"	"left"	0.898	2.808	234.079	232.184
234.679	"Contingent"	"right"	0.969	2.809	237.468	235.648
240.296	"NonContingent"	"right"	0.699	2.809	243.085	240.995
243.89	"NonContingent"	"right"	0.767	2.809	246.676	244.657
247.434	"Contingent"	"right"	1.012	2.809	250.216	248.446
250.811	"NonContingent"	"right"	0.874	2.808	253.606	251.685
254.204	"NonContingent"	"right"	1.141	2.809	256.996	255.345
257.899	"Contingent"	"right"	0.784	2.808	260.687	258.683
261.242	"Contingent"	"right"	0.811	2.809	264.026	262.053
264.686	"NonContingent"	"right"	0.768	2.791	267.466	265.454
268.263	"Contingent"	"right"	0.837	2.809	271.057	269.1
271.807	"NonContingent"	"right"	0.813	2.808	274.598	272.62
