"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.738	"Visual_Different"	0	"right"	1.68	1.788	12.526	12.418
13.329	"Visual_Lure"	1	"left"	1.538	1.788	15.117	14.867
15.769	"Visual_Different"	1	"left"	1.487	1.789	17.558	17.256
18.411	"Visual_Same"	1	"right"	1.181	1.788	20.199	19.592
20.851	"Visual_Same"	1	"right"	1.534	1.789	22.64	22.385
23.175	"Visual_Lure"	1	"left"	1.344	1.789	24.964	24.519
25.766	"Visual_Lure"	1	"left"	1.488	1.789	27.555	27.254
33.439	"Auditory_Lure"	1	"left"	1.691	1.789	35.228	35.13
35.779	"Auditory_Lure"	1	"left"	1.059	1.789	37.568	36.838
38.37	"Auditory_Same"	1	"right"	1.08	1.789	40.159	39.45
40.711	"Auditory_Different"	0	NA	NA	1.788	42.499	NA
43.302	"Auditory_Different"	0	"right"	0.304	1.772	45.074	43.606
45.876	"Auditory_Lure"	0	NA	NA	1.789	47.665	NA
53.449	"Visual_Same"	1	"right"	0.87	1.789	55.238	54.319
55.773	"Visual_Lure"	1	"left"	0.836	1.788	57.561	56.609
58.364	"Visual_Different"	1	"left"	1.458	1.788	60.152	59.822
60.804	"Visual_Lure"	1	"left"	1.117	1.789	62.593	61.921
63.245	"Visual_Lure"	1	"left"	1.123	1.789	65.034	64.368
65.886	"Visual_Different"	1	"left"	1.349	1.789	67.675	67.235
68.31	"Visual_Different"	0	NA	NA	1.789	70.099	NA
75.749	"Auditory_Different"	1	"left"	1.312	1.789	77.538	77.061
78.374	"Auditory_Same"	1	"right"	1.113	1.788	80.162	79.487
80.764	"Auditory_Different"	1	"left"	1.294	1.789	82.553	82.058
83.305	"Auditory_Lure"	1	"left"	1.15	1.789	85.094	84.455
85.846	"Auditory_Lure"	1	"left"	1.092	1.789	87.635	86.938
88.287	"Auditory_Same"	1	"right"	1.033	1.788	90.075	89.32
95.742	"Visual_Different"	1	"left"	1.14	1.789	97.531	96.882
98.434	"Visual_Different"	1	"left"	0.982	1.788	100.222	99.416
100.724	"Visual_Lure"	1	"left"	1.017	1.772	102.496	101.741
103.348	"Visual_Same"	1	"right"	0.924	1.789	105.137	104.272
105.789	"Visual_Same"	1	"right"	1.08	1.789	107.578	106.869
108.23	"Visual_Different"	1	"left"	1.294	1.788	110.018	109.524
115.786	"Auditory_Lure"	1	"left"	0.792	1.788	117.574	116.578
118.427	"Auditory_Different"	1	"left"	1.326	1.789	120.216	119.753
120.717	"Auditory_Lure"	1	"left"	1.251	1.789	122.506	121.968
123.308	"Auditory_Same"	1	"right"	1.116	1.789	125.097	124.424
125.849	"Auditory_Same"	1	"right"	0.818	1.789	127.638	126.667
128.173	"Auditory_Different"	1	"left"	1.284	1.788	129.961	129.457
135.846	"Visual_Lure"	1	"left"	0.749	1.788	137.634	136.595
138.236	"Visual_Different"	1	"left"	1.043	1.789	140.025	139.279
140.76	"Visual_Same"	1	"right"	1.045	1.789	142.549	141.805
143.402	"Visual_Different"	1	"left"	0.944	1.788	145.19	144.346
145.842	"Visual_Different"	1	"left"	1.157	1.789	147.631	146.999
148.283	"Visual_Same"	1	"right"	1.028	1.789	150.072	149.311
150.724	"Visual_Same"	1	"right"	1.118	1.771	152.495	151.842
158.296	"Auditory_Same"	1	"right"	1.052	1.789	160.085	159.348
160.921	"Auditory_Same"	1	"right"	1.072	1.788	162.709	161.993
163.361	"Auditory_Lure"	1	"left"	0.815	1.789	165.15	164.176
165.802	"Auditory_Different"	1	"left"	0.938	1.789	167.591	166.74
168.193	"Auditory_Same"	1	"right"	0.973	1.788	169.981	169.166
