"onset"	"trial_type"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
4.684	"Contingent"	NA	NA	0.919	5.59	NA
6.238	"Contingent"	"left"	1.795	2.809	9.03	8.033
9.93300000000001	"Contingent"	"left"	1.221	2.808	12.721	11.154
13.376	"Contingent"	"left"	1.157	2.809	16.161	14.533
16.82	"Contingent"	"left"	1.281	2.808	19.601	18.101
20.197	"NonContingent"	"right"	1.342	2.808	22.991	21.539
23.791	"Contingent"	"left"	2.378	2.808	26.582	26.169
27.234	"Contingent"	"right"	1.239	2.809	30.022	28.473
30.879	"Contingent"	"right"	1.181	2.808	33.663	32.06
34.322	"NonContingent"	"left"	1.458	2.792	37.103	35.78
37.699	"Contingent"	"left"	1.165	2.808	40.492	38.864
41.293	"NonContingent"	"right"	1.883	2.809	44.083	43.176
44.837	"NonContingent"	"right"	1.209	2.809	47.623	46.046
50.303	"NonContingent"	"right"	1.398	2.809	53.09	51.701
53.898	"Contingent"	"left"	1.167	2.808	56.681	55.065
57.241	"NonContingent"	"right"	1.675	2.792	60.02	58.916
60.818	"NonContingent"	"left"	1.628	2.809	63.611	62.446
64.412	"Contingent"	"left"	2.321	2.809	67.202	66.733
67.806	"Contingent"	"left"	1.894	2.808	70.592	69.7
71.35	"Contingent"	"left"	1.693	2.808	74.133	73.043
74.676	"NonContingent"	"right"	2.234	2.809	77.472	76.91
78.22	"Contingent"	"right"	1.691	2.809	81.012	79.911
81.865	"NonContingent"	"left"	1.554	2.808	84.653	83.419
85.158	"Contingent"	"right"	1.415	2.808	87.942	86.573
88.752	"Contingent"	"left"	1.234	2.808	91.533	89.986
92.179	"Contingent"	"left"	2.215	2.808	94.973	94.394
97.896	"Contingent"	"left"	1.209	2.808	100.69	99.105
101.239	"Contingent"	"left"	0.994	2.809	104.029	102.233
104.934	"NonContingent"	"left"	2	2.808	107.72	106.934
108.277	"NonContingent"	"left"	1.711	2.808	111.059	109.988
111.821	"NonContingent"	"left"	2.476	2.792	114.6	114.297
115.248	"NonContingent"	"left"	1.614	2.808	118.04	116.862
118.842	"Contingent"	"left"	1.225	2.808	121.631	120.067
122.386	"Contingent"	"left"	2.001	2.808	125.171	124.387
125.679	"Contingent"	"left"	1.038	2.792	128.46	126.717
129.256	"NonContingent"	"right"	1.34	2.809	132.051	130.596
132.7	"Contingent"	"right"	2.275	2.809	135.491	134.975
136.244	"Contingent"	"right"	1.523	2.808	139.032	137.767
139.638	"NonContingent"	"left"	2.225	2.808	142.422	141.863
145.254	"Contingent"	"left"	0.869	2.809	148.038	146.123
148.899	"NonContingent"	"right"	1.246	2.791	151.679	150.145
152.326	"Contingent"	"right"	1.032	2.808	155.119	153.358
155.92	"NonContingent"	"right"	1.252	2.808	158.71	157.172
159.263	"NonContingent"	"left"	1.91	2.808	162.049	161.173
162.857	"NonContingent"	"right"	1.232	2.809	165.64	164.089
166.301	"NonContingent"	"right"	1.79	2.791	169.08	168.091
169.878	"NonContingent"	"right"	1.468	2.809	172.671	171.346
173.171	"Contingent"	"left"	1.186	2.809	175.96	174.357
176.715	"NonContingent"	"right"	1.912	2.809	179.5	178.627
180.159	"Contingent"	"left"	0.887	2.792	182.94	181.046
183.736	"Contingent"	"right"	1.173	2.809	186.531	184.909
187.33	"NonContingent"	"left"	1.71	2.809	190.122	189.04
192.947	"Contingent"	"left"	1.548	2.809	195.738	194.495
196.24	"NonContingent"	"right"	1.291	2.809	199.027	197.531
199.885	"NonContingent"	"right"	1.091	2.808	202.668	200.976
203.328	"NonContingent"	"right"	1.911	2.792	206.108	205.239
206.755	"NonContingent"	"right"	2.208	2.809	209.548	208.963
210.349	"NonContingent"	"left"	1.021	2.809	213.139	211.37
213.893	"NonContingent"	"left"	1.515	2.809	216.679	215.408
217.186	"NonContingent"	"right"	2.178	2.809	219.968	219.364
220.714	"NonContingent"	"left"	2.494	2.808	223.508	223.208
224.258	"Contingent"	"left"	2.219	2.808	227.049	226.477
227.651	"Contingent"	"left"	0.833	2.809	230.439	228.484
231.295	"Contingent"	"left"	0.842	2.809	234.08	232.137
234.839	"Contingent"	"left"	1.234	2.792	237.62	236.073
240.406	"NonContingent"	"right"	1.185	2.808	243.188	241.591
243.783	"NonContingent"	"right"	1.271	2.808	246.577	245.054
247.226	"Contingent"	"left"	1.012	2.809	250.017	248.238
250.921	"NonContingent"	"right"	1.231	2.808	253.708	252.152
254.314	"NonContingent"	"right"	1.66	2.809	257.098	255.974
257.858	"Contingent"	"right"	1.033	2.792	260.639	258.891
261.385	"Contingent"	"left"	1.597	2.809	264.179	262.982
264.779	"NonContingent"	"left"	1.464	2.808	267.569	266.243
268.172	"Contingent"	"left"	1.907	2.809	270.959	270.079
271.716	"NonContingent"	"left"	2.668	2.809	274.499	274.384
275.361	"NonContingent"	"right"	1.947	2.791	278.14	277.308
278.788	"NonContingent"	"right"	0.942	2.808	281.58	279.73
282.231	"Contingent"	"left"	0.934	2.809	285.02	283.165
287.748	"NonContingent"	"right"	1.082	2.808	290.536	288.83
291.292	"NonContingent"	"right"	1.118	2.808	294.076	292.41
294.836	"NonContingent"	"left"	1.412	2.791	297.617	296.248
298.413	"Contingent"	"left"	1.76	2.808	301.208	300.173
301.857	"NonContingent"	"right"	0.872	2.808	304.648	302.729
305.25	"NonContingent"	"left"	1.768	2.809	308.037	307.018
308.894	"Contingent"	"right"	0.94	2.809	311.678	309.834
312.338	"NonContingent"	"right"	1.633	2.792	315.118	313.971
315.665	"Contingent"	"left"	1.295	2.808	318.457	316.96
319.259	"Contingent"	"right"	0.83	2.808	322.048	320.089
322.853	"Contingent"	"left"	0.945	2.808	325.639	323.798
326.196	"Contingent"	"left"	1.041	2.792	328.978	327.237
329.723	"NonContingent"	"left"	1.876	2.809	332.519	331.599
335.457	"NonContingent"	"left"	1.724	2.792	338.237	337.181
338.784	"Contingent"	"left"	1.037	2.808	341.576	339.821
342.228	"NonContingent"	"left"	1.162	2.808	345.016	343.39
345.822	"Contingent"	"left"	1.018	2.808	348.607	346.84
349.366	"Contingent"	"left"	1.465	2.808	352.148	350.831
352.692	"Contingent"	"left"	0.826	2.809	355.487	353.518
356.286	"Contingent"	"left"	0.734	2.809	359.078	357.02
359.83	"Contingent"	"left"	0.839	2.809	362.619	360.669
363.374	"Contingent"	"right"	0.85	2.809	366.159	364.224
366.718	"Contingent"	"left"	0.893	2.791	369.498	367.611
370.295	"NonContingent"	"right"	1.288	2.808	373.089	371.583
373.688	"NonContingent"	"left"	1.857	2.809	376.478	375.545
377.333	"Contingent"	"left"	1.02	2.808	380.119	378.353
382.949	"NonContingent"	"left"	1.374	2.809	385.736	384.323
386.243	"Contingent"	"left"	1.506	2.808	389.025	387.749
389.837	"NonContingent"	"left"	1.779	2.791	392.616	391.616
393.364	"Contingent"	"left"	0.899	2.808	396.157	394.263
396.757	"NonContingent"	"left"	2.103	2.809	399.546	398.86
400.402	"NonContingent"	"left"	2.029	2.808	403.187	402.431
403.845	"Contingent"	"left"	0.986	2.809	406.627	404.831
407.222	"NonContingent"	"right"	1.918	2.809	410.016	409.14
410.766	"Contingent"	"left"	0.793	2.808	413.557	411.559
414.16	"Contingent"	"left"	1.343	2.808	416.947	415.503
417.703	"NonContingent"	"right"	1.264	2.809	420.487	418.967
421.147	"NonContingent"	"left"	1.499	2.792	423.927	422.646
424.775	"NonContingent"	"left"	1.196	2.808	427.568	425.971
430.442	"Contingent"	"left"	1.035	2.808	433.235	431.477
433.885	"NonContingent"	"left"	1.752	2.809	436.675	435.637
437.329	"NonContingent"	"left"	1.189	2.808	440.115	438.518
440.773	"Contingent"	"left"	1.673	2.808	443.555	442.446
444.199	"NonContingent"	"right"	1.367	2.809	446.995	445.566
