"onset"	"trial_type"
6.238	"Contingent"
9.93300000000001	"Contingent"
13.376	"Contingent"
16.82	"Contingent"
23.791	"Contingent"
27.234	"Contingent"
30.879	"Contingent"
37.699	"Contingent"
53.898	"Contingent"
64.412	"Contingent"
67.806	"Contingent"
71.35	"Contingent"
78.22	"Contingent"
85.158	"Contingent"
88.752	"Contingent"
92.179	"Contingent"
97.896	"Contingent"
101.239	"Contingent"
118.842	"Contingent"
122.386	"Contingent"
125.679	"Contingent"
132.7	"Contingent"
136.244	"Contingent"
145.254	"Contingent"
152.326	"Contingent"
173.171	"Contingent"
180.159	"Contingent"
183.736	"Contingent"
192.947	"Contingent"
224.258	"Contingent"
227.651	"Contingent"
231.295	"Contingent"
234.839	"Contingent"
247.226	"Contingent"
257.858	"Contingent"
261.385	"Contingent"
268.172	"Contingent"
282.231	"Contingent"
298.413	"Contingent"
308.894	"Contingent"
315.665	"Contingent"
319.259	"Contingent"
322.853	"Contingent"
326.196	"Contingent"
338.784	"Contingent"
345.822	"Contingent"
349.366	"Contingent"
352.692	"Contingent"
356.286	"Contingent"
359.83	"Contingent"
363.374	"Contingent"
366.718	"Contingent"
377.333	"Contingent"
386.243	"Contingent"
393.364	"Contingent"
403.845	"Contingent"
410.766	"Contingent"
414.16	"Contingent"
430.442	"Contingent"
440.773	"Contingent"
447.794	"Contingent"
454.731	"Contingent"
472.133	"Contingent"
477.85	"Contingent"
481.444	"Contingent"
484.871	"Contingent"
502.374	"Contingent"
505.817	"Contingent"
509.161	"Contingent"
516.182	"Contingent"
519.776	"Contingent"
20.197	"NonContingent"
34.322	"NonContingent"
41.293	"NonContingent"
44.837	"NonContingent"
50.303	"NonContingent"
57.241	"NonContingent"
60.818	"NonContingent"
74.676	"NonContingent"
81.865	"NonContingent"
104.934	"NonContingent"
108.277	"NonContingent"
111.821	"NonContingent"
115.248	"NonContingent"
129.256	"NonContingent"
139.638	"NonContingent"
148.899	"NonContingent"
155.92	"NonContingent"
159.263	"NonContingent"
162.857	"NonContingent"
166.301	"NonContingent"
169.878	"NonContingent"
176.715	"NonContingent"
187.33	"NonContingent"
196.24	"NonContingent"
199.885	"NonContingent"
203.328	"NonContingent"
206.755	"NonContingent"
210.349	"NonContingent"
213.893	"NonContingent"
217.186	"NonContingent"
220.714	"NonContingent"
240.406	"NonContingent"
243.783	"NonContingent"
250.921	"NonContingent"
254.314	"NonContingent"
264.779	"NonContingent"
271.716	"NonContingent"
275.361	"NonContingent"
278.788	"NonContingent"
287.748	"NonContingent"
291.292	"NonContingent"
294.836	"NonContingent"
301.857	"NonContingent"
305.25	"NonContingent"
312.338	"NonContingent"
329.723	"NonContingent"
335.457	"NonContingent"
342.228	"NonContingent"
370.295	"NonContingent"
373.688	"NonContingent"
382.949	"NonContingent"
389.837	"NonContingent"
396.757	"NonContingent"
400.402	"NonContingent"
407.222	"NonContingent"
417.703	"NonContingent"
421.147	"NonContingent"
424.775	"NonContingent"
433.885	"NonContingent"
437.329	"NonContingent"
444.199	"NonContingent"
451.187	"NonContingent"
458.325	"NonContingent"
461.852	"NonContingent"
465.296	"NonContingent"
468.84	"NonContingent"
488.265	"NonContingent"
491.708	"NonContingent"
495.252	"NonContingent"
498.796	"NonContingent"
512.855	"NonContingent"
525.393	"NonContingent"
