"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
10.797	"Visual_Same"	1	"right"	1.361	1.788	12.585	12.158
13.438	"Visual_Different"	1	"left"	0.904	1.789	15.227	14.342
15.812	"Visual_Same"	1	"right"	1.488	1.788	17.6	17.3
18.353	"Visual_Lure"	1	"left"	1.677	1.788	20.141	20.03
20.693	"Visual_Lure"	1	"left"	1.709	1.789	22.482	22.402
23.234	"Visual_Different"	0	"right"	1.232	1.788	25.022	24.466
25.674	"Visual_Different"	0	NA	NA	1.789	27.463	NA
33.247	"Auditory_Different"	1	"left"	1.734	1.789	35.036	34.981
35.888	"Auditory_Different"	1	"left"	1.354	1.789	37.677	37.242
38.312	"Auditory_Same"	1	"right"	1.231	1.789	40.101	39.543
40.903	"Auditory_Lure"	1	"left"	1.078	1.789	42.692	41.981
43.244	"Auditory_Different"	1	"left"	1.465	1.788	45.032	44.709
50.95	"Visual_Different"	1	"left"	1.169	1.789	52.739	52.119
53.324	"Visual_Different"	1	"left"	1.285	1.788	55.112	54.609
55.865	"Visual_Same"	1	"right"	1.295	1.788	57.653	57.16
58.305	"Visual_Lure"	1	"left"	1.083	1.789	60.094	59.388
60.696	"Visual_Different"	1	"left"	1.019	1.788	62.484	61.715
68.335	"Auditory_Different"	1	"left"	0.931	1.789	70.124	69.266
70.726	"Auditory_Different"	1	"left"	1.525	1.788	72.514	72.251
73.267	"Auditory_Lure"	1	"left"	1.503	1.788	75.055	74.77
75.858	"Auditory_Different"	1	"left"	1.087	1.788	77.646	76.945
78.399	"Auditory_Same"	1	"right"	1.232	1.788	80.187	79.631
85.787	"Visual_Same"	1	"right"	1.609	1.789	87.576	87.396
88.429	"Visual_Same"	0	NA	NA	1.788	90.217	NA
90.869	"Visual_Different"	1	"left"	1.118	1.789	92.658	91.987
93.31	"Visual_Lure"	1	"left"	0.761	1.789	95.099	94.071
95.684	"Visual_Lure"	1	"left"	0.989	1.788	97.472	96.673
98.325	"Visual_Same"	1	"right"	1.447	1.789	100.114	99.772
105.797	"Auditory_Lure"	0	"right"	1.341	1.789	107.586	107.138
108.321	"Auditory_Lure"	1	"left"	1.578	1.789	110.11	109.899
110.913	"Auditory_Same"	1	"right"	1.623	1.788	112.701	112.536
113.203	"Auditory_Different"	1	"left"	1.049	1.788	114.991	114.252
115.844	"Auditory_Different"	1	"left"	1.412	1.789	117.633	117.256
118.285	"Auditory_Lure"	0	NA	NA	1.788	120.073	NA
125.941	"Visual_Same"	1	"right"	1.622	1.788	127.729	127.563
128.281	"Visual_Same"	1	"right"	1.173	1.789	130.07	129.454
130.722	"Visual_Lure"	1	"left"	1.174	1.788	132.51	131.896
133.296	"Visual_Different"	1	"left"	1.01	1.789	135.085	134.306
135.837	"Visual_Same"	1	"right"	1.335	1.789	137.626	137.172
143.243	"Auditory_Same"	0	"left"	1.169	1.788	145.031	144.412
145.934	"Auditory_Lure"	1	"left"	1.443	1.789	147.723	147.377
148.358	"Auditory_Different"	0	NA	NA	1.788	150.146	NA
150.748	"Auditory_Lure"	1	"left"	1.479	1.789	152.537	152.227
153.189	"Auditory_Lure"	0	NA	NA	1.789	154.978	NA
155.83	"Auditory_Different"	0	NA	NA	1.789	157.619	NA
158.271	"Auditory_Different"	0	NA	NA	1.788	160.059	NA
165.793	"Visual_Lure"	1	"left"	1.174	1.789	167.582	166.967
168.434	"Visual_Lure"	1	"left"	1.208	1.789	170.223	169.642
170.858	"Visual_Same"	1	"right"	1.195	1.789	172.647	172.053
173.249	"Visual_Different"	1	"left"	1.126	1.788	175.037	174.375
175.79	"Visual_Different"	1	"left"	1.268	1.788	177.578	177.058
178.18	"Visual_Lure"	1	"left"	1.11	1.789	179.969	179.29
185.786	"Auditory_Same"	0	"left"	0.692	1.789	187.575	186.478
188.428	"Auditory_Lure"	1	"left"	1.741	1.788	190.216	190.169
190.768	"Auditory_Same"	0	NA	NA	1.789	192.557	NA
193.409	"Auditory_Different"	1	"left"	1.77	1.789	195.198	195.179
195.833	"Auditory_Different"	0	NA	NA	1.789	197.622	NA
198.274	"Auditory_Lure"	0	NA	NA	1.788	200.062	NA
205.947	"Visual_Same"	1	"right"	1.485	1.788	207.735	207.432
208.37	"Visual_Lure"	1	"left"	1.272	1.789	210.159	209.642
210.911	"Visual_Different"	0	NA	NA	1.789	212.7	NA
213.302	"Visual_Lure"	1	"left"	1.062	1.789	215.091	214.364
215.692	"Visual_Lure"	1	"left"	0.863	1.789	217.481	216.555
218.233	"Visual_Different"	1	"left"	0.728	1.789	220.022	218.961
220.808	"Visual_Different"	1	"left"	0.694	1.788	222.596	221.502
228.246	"Auditory_Same"	1	"right"	0.822	1.772	230.018	229.068
230.821	"Auditory_Different"	1	"left"	0.904	1.789	232.61	231.725
233.211	"Auditory_Same"	1	"right"	1.611	1.789	235	234.822
235.903	"Auditory_Lure"	0	"right"	1.762	1.788	237.691	237.665
238.243	"Auditory_Lure"	1	"left"	0.886	1.789	240.032	239.129
240.817	"Auditory_Different"	1	"left"	0.94	1.789	242.606	241.757
243.208	"Auditory_Different"	1	"left"	1.775	1.789	244.997	244.983
250.78	"Visual_Different"	1	"left"	0.967	1.789	252.569	251.747
253.221	"Visual_Same"	1	"right"	1.626	1.789	255.01	254.847
255.812	"Visual_Lure"	1	"left"	1.121	1.789	257.601	256.933
258.403	"Visual_Same"	0	NA	NA	1.789	260.192	NA
260.794	"Visual_Same"	1	"right"	1.737	1.788	262.582	262.531
263.335	"Visual_Lure"	1	"left"	1.477	1.772	265.107	264.812
265.859	"Visual_Lure"	1	"left"	1.727	1.789	267.648	267.586
273.231	"Auditory_Lure"	0	NA	NA	1.789	275.02	NA
275.872	"Auditory_Lure"	1	"left"	1.711	1.789	277.661	277.583
278.313	"Auditory_Different"	1	"left"	1.433	1.788	280.101	279.746
280.904	"Auditory_Same"	1	"right"	1.286	1.789	282.693	282.19
283.194	"Auditory_Lure"	1	"left"	1.194	1.789	284.983	284.388
290.733	"Visual_Different"	1	"left"	0.709	1.789	292.522	291.442
293.274	"Visual_Different"	1	"left"	0.86	1.789	295.063	294.134
295.865	"Visual_Lure"	1	"left"	1.043	1.789	297.654	296.908
298.206	"Visual_Different"	1	"left"	0.95	1.788	299.994	299.156
300.78	"Visual_Same"	1	"right"	1.561	1.789	302.569	302.341
308.436	"Auditory_Different"	1	"left"	1.101	1.789	310.225	309.537
310.877	"Auditory_Same"	1	"right"	1.048	1.788	312.665	311.925
313.317	"Auditory_Lure"	1	"left"	1.065	1.789	315.106	314.382
315.741	"Auditory_Same"	0	"left"	1.753	1.789	317.53	317.494
318.182	"Auditory_Same"	0	NA	NA	1.789	319.971	NA
320.873	"Auditory_Lure"	0	NA	NA	1.789	322.662	NA
323.214	"Auditory_Lure"	1	"left"	1.172	1.788	325.002	324.386
330.937	"Visual_Same"	1	"right"	1.781	1.788	332.725	332.718
333.277	"Visual_Same"	0	NA	NA	1.789	335.066	NA
335.868	"Visual_Different"	1	"left"	0.871	1.789	337.657	336.739
338.392	"Visual_Same"	0	"left"	1.313	1.789	340.181	339.705
340.682	"Visual_Lure"	1	"left"	1.369	1.789	342.471	342.051
348.389	"Auditory_Lure"	0	"right"	1.225	1.788	350.177	349.614
350.829	"Auditory_Lure"	1	"left"	0.933	1.789	352.618	351.762
