"onset"	"trial_type"	"button"	"response_time"	"duration"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
3.851	"Contingent"	NA	NA	1.756	5.58999999999997	NA
6.34199999999998	"Contingent"	"left"	2.631	2.809	9.131	8.97299999999998
9.73599999999999	"Contingent"	NA	NA	2.808	12.521	NA
13.43	"Contingent"	"left"	2.142	2.808	16.212	15.572
16.857	"Contingent"	"left"	1.72	2.808	19.652	18.577
20.25	"NonContingent"	"left"	0.969	2.809	23.041	21.219
23.844	"Contingent"	"left"	2.232	2.809	26.632	26.076
27.188	"Contingent"	"left"	1.499	2.808	29.971	28.687
30.782	"Contingent"	"left"	0.8	2.791	33.562	31.582
34.359	"NonContingent"	"left"	0.924	2.809	37.153	35.283
37.753	"Contingent"	"left"	1.345	2.808	40.543	39.098
41.146	"NonContingent"	"left"	1.009	2.808	43.933	42.155
44.79	"NonContingent"	"left"	0.993	2.809	47.574	45.783
50.407	"NonContingent"	"left"	2.113	2.808	53.19	52.52
53.851	"Contingent"	"left"	1.057	2.791	56.63	54.908
57.278	"NonContingent"	"right"	1.831	2.808	60.07	59.109
60.721	"NonContingent"	"right"	1.574	2.809	63.51	62.295
64.416	"Contingent"	"left"	1.561	2.808	67.201	65.977
67.709	"Contingent"	"left"	1.726	2.791	70.49	69.435
71.336	"Contingent"	"left"	1.564	2.809	74.131	72.9
74.88	"NonContingent"	"right"	2.252	2.809	77.671	77.132
78.274	"Contingent"	"left"	2.538	2.808	81.061	80.812
81.717	"NonContingent"	"right"	1.509	2.809	84.501	83.226
85.161	"Contingent"	"right"	2.152	2.792	87.941	87.313
88.839	"Contingent"	"left"	1.415	2.808	91.632	90.254
92.232	"Contingent"	"left"	1.376	2.808	95.022	93.608
97.899	"Contingent"	"left"	1.311	2.808	100.689	99.21
101.292	"Contingent"	"left"	1.494	2.809	104.078	102.786
104.937	"NonContingent"	"right"	2.146	2.808	107.719	107.083
108.213	"NonContingent"	"right"	1.925	2.808	111.008	110.138
111.807	"NonContingent"	"right"	1.665	2.809	114.599	113.472
115.201	"NonContingent"	"left"	0.967	2.808	117.989	116.168
118.845	"Contingent"	"left"	1.871	2.808	121.63	120.716
122.389	"Contingent"	"left"	1.34	2.791	125.17	123.729
125.766	"Contingent"	"left"	1.647	2.808	128.56	127.413
129.209	"NonContingent"	"right"	1.334	2.809	132	130.543
132.653	"Contingent"	"right"	2.139	2.808	135.44	134.792
136.247	"Contingent"	"right"	2.381	2.808	139.031	138.628
139.841	"NonContingent"	"left"	1.692	2.792	142.622	141.533
145.458	"Contingent"	"right"	2.353	2.791	148.238	147.811
148.834	"NonContingent"	"left"	2.342	2.809	151.628	151.176
152.278	"Contingent"	"left"	1.317	2.808	155.068	153.595
155.872	"NonContingent"	"right"	2.052	2.808	158.659	157.924
159.215	"NonContingent"	"left"	1.72	2.809	161.998	160.935
162.743	"NonContingent"	"right"	1.197	2.808	165.538	163.94
166.337	"NonContingent"	"right"	1.758	2.808	169.129	168.095
169.881	"NonContingent"	"right"	2.46	2.808	172.669	172.341
173.174	"Contingent"	"left"	1.091	2.808	175.958	174.265
176.768	"NonContingent"	"right"	1.824	2.791	179.549	178.592
180.345	"Contingent"	"left"	1.348	2.809	183.14	181.693
183.689	"Contingent"	"right"	2.02	2.808	186.479	185.709
187.132	"NonContingent"	"left"	1.028	2.808	189.919	188.16
192.899	"Contingent"	"left"	2.378	2.809	195.687	195.277
196.293	"NonContingent"	"right"	2.266	2.808	199.076	198.559
199.837	"NonContingent"	"left"	0.95	2.791	202.617	200.787
203.414	"NonContingent"	"left"	0.659	2.808	206.208	204.073
206.707	"NonContingent"	"right"	1.372	2.809	209.497	208.079
210.301	"NonContingent"	"left"	2.007	2.809	213.088	212.308
213.895	"NonContingent"	"right"	2.167	2.809	216.679	216.062
217.189	"NonContingent"	"right"	1.556	2.791	219.968	218.745
220.816	"NonContingent"	"right"	2.176	2.808	223.609	222.992
224.21	"Contingent"	"right"	1.558	2.808	226.998	225.768
227.804	"Contingent"	"left"	0.9	2.808	230.589	228.704
231.147	"Contingent"	"left"	1.386	2.792	233.928	232.533
234.724	"Contingent"	"left"	2.316	2.809	237.519	237.04
240.341	"NonContingent"	"right"	1.144	2.808	243.136	241.485
243.935	"NonContingent"	"left"	2.363	2.808	246.727	246.298
247.379	"Contingent"	"left"	2.214	2.808	250.167	249.593
250.722	"NonContingent"	"right"	0.997	2.808	253.506	251.719
254.266	"NonContingent"	"right"	1.686	2.792	257.046	255.952
257.843	"Contingent"	"left"	1.141	2.809	260.637	258.984
261.287	"Contingent"	"left"	2.073	2.808	264.077	263.36
264.881	"NonContingent"	"right"	2.184	2.808	267.668	267.065
268.224	"Contingent"	"left"	1.484	2.809	271.007	269.708
271.668	"NonContingent"	"right"	2.476	2.792	274.447	274.144
275.346	"NonContingent"	"right"	1.549	2.808	278.138	276.895
278.639	"NonContingent"	"right"	2.366	2.808	281.427	281.005
282.183	"Contingent"	"left"	1.269	2.808	284.967	283.452
287.9	"NonContingent"	"right"	1.287	2.808	290.685	289.187
291.293	"NonContingent"	"right"	1.991	2.792	294.074	293.284
294.82	"NonContingent"	"left"	0.952	2.809	297.615	295.772
298.214	"Contingent"	"left"	1.844	2.808	301.005	300.058
301.908	"NonContingent"	NA	NA	2.809	304.696	NA
305.302	"NonContingent"	"left"	0.81	2.808	308.086	306.112
308.745	"Contingent"	"right"	1.334	2.792	311.526	310.079
312.373	"NonContingent"	"right"	1.779	2.808	315.167	314.152
315.666	"Contingent"	"left"	1.541	2.808	318.456	317.207
319.31	"Contingent"	"right"	1.243	2.809	322.097	320.553
322.704	"Contingent"	"left"	2.389	2.808	325.486	325.093
326.131	"Contingent"	"left"	1.125	2.808	328.926	327.256
329.825	"NonContingent"	"right"	1.389	2.808	332.617	331.214
335.442	"NonContingent"	"right"	2.523	2.808	338.234	337.965
338.785	"Contingent"	"left"	1.592	2.808	341.573	340.377
342.329	"NonContingent"	"right"	2.377	2.808	345.114	344.706
345.873	"Contingent"	"left"	2.754	2.808	348.655	348.627
349.2	"Contingent"	"right"	1.02	2.808	351.994	350.22
352.794	"Contingent"	"left"	1.493	2.808	355.585	354.287
356.187	"Contingent"	"left"	0.7	2.808	358.975	356.887
359.731	"Contingent"	"left"	0.703	2.808	362.515	360.434
363.375	"Contingent"	"right"	1.097	2.792	366.156	364.472
366.802	"Contingent"	"left"	1.33	2.808	369.596	368.132
370.246	"NonContingent"	"right"	1.836	2.808	373.036	372.082
