"onset"	"trial_type"
6.34199999999998	"Contingent"
13.43	"Contingent"
16.857	"Contingent"
23.844	"Contingent"
27.188	"Contingent"
30.782	"Contingent"
37.753	"Contingent"
53.851	"Contingent"
64.416	"Contingent"
67.709	"Contingent"
71.336	"Contingent"
78.274	"Contingent"
85.161	"Contingent"
88.839	"Contingent"
92.232	"Contingent"
97.899	"Contingent"
101.292	"Contingent"
118.845	"Contingent"
122.389	"Contingent"
125.766	"Contingent"
132.653	"Contingent"
136.247	"Contingent"
145.458	"Contingent"
152.278	"Contingent"
173.174	"Contingent"
180.345	"Contingent"
183.689	"Contingent"
192.899	"Contingent"
224.21	"Contingent"
227.804	"Contingent"
231.147	"Contingent"
234.724	"Contingent"
247.379	"Contingent"
257.843	"Contingent"
261.287	"Contingent"
268.224	"Contingent"
282.183	"Contingent"
298.214	"Contingent"
308.745	"Contingent"
315.666	"Contingent"
319.31	"Contingent"
322.704	"Contingent"
326.131	"Contingent"
338.785	"Contingent"
345.873	"Contingent"
349.2	"Contingent"
352.794	"Contingent"
356.187	"Contingent"
359.731	"Contingent"
363.375	"Contingent"
366.802	"Contingent"
377.133	"Contingent"
386.344	"Contingent"
393.365	"Contingent"
403.779	"Contingent"
410.666	"Contingent"
414.361	"Contingent"
430.442	"Contingent"
440.756	"Contingent"
447.744	"Contingent"
454.782	"Contingent"
472.334	"Contingent"
477.951	"Contingent"
481.227	"Contingent"
484.871	"Contingent"
502.173	"Contingent"
505.817	"Contingent"
509.361	"Contingent"
516.131	"Contingent"
519.776	"Contingent"
20.25	"NonContingent"
34.359	"NonContingent"
41.146	"NonContingent"
44.79	"NonContingent"
50.407	"NonContingent"
57.278	"NonContingent"
60.721	"NonContingent"
74.88	"NonContingent"
81.717	"NonContingent"
104.937	"NonContingent"
108.213	"NonContingent"
111.807	"NonContingent"
115.201	"NonContingent"
129.209	"NonContingent"
139.841	"NonContingent"
148.834	"NonContingent"
155.872	"NonContingent"
159.215	"NonContingent"
162.743	"NonContingent"
166.337	"NonContingent"
169.881	"NonContingent"
176.768	"NonContingent"
187.132	"NonContingent"
196.293	"NonContingent"
199.837	"NonContingent"
203.414	"NonContingent"
206.707	"NonContingent"
210.301	"NonContingent"
213.895	"NonContingent"
217.189	"NonContingent"
220.816	"NonContingent"
240.341	"NonContingent"
243.935	"NonContingent"
250.722	"NonContingent"
254.266	"NonContingent"
264.881	"NonContingent"
271.668	"NonContingent"
275.346	"NonContingent"
278.639	"NonContingent"
287.9	"NonContingent"
291.293	"NonContingent"
294.82	"NonContingent"
305.302	"NonContingent"
312.373	"NonContingent"
329.825	"NonContingent"
335.442	"NonContingent"
342.329	"NonContingent"
370.246	"NonContingent"
373.79	"NonContingent"
382.8	"NonContingent"
389.921	"NonContingent"
396.708	"NonContingent"
400.352	"NonContingent"
407.223	"NonContingent"
417.704	"NonContingent"
421.231	"NonContingent"
424.775	"NonContingent"
433.886	"NonContingent"
437.229	"NonContingent"
444.3	"NonContingent"
451.338	"NonContingent"
458.359	"NonContingent"
461.652	"NonContingent"
465.296	"NonContingent"
468.74	"NonContingent"
488.265	"NonContingent"
491.809	"NonContingent"
495.236	"NonContingent"
498.78	"NonContingent"
512.688	"NonContingent"
525.342	"NonContingent"
